Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
21	4979		21<-49<-6<-48<-25
22	3350		22<-45<-6<-48<-25
23	4320		23<-46<-5<-48<-25
24	4261		24<-48<-25
25	0		25
26	2201		26<-48<-25
27	2510		27<-26<-48<-25
28	3220		28<-29<-45<-6<-48<-25
29	2950		29<-45<-6<-48<-25
30	1893		30<-49<-6<-48<-25
31	5677		31<-32<-45<-6<-48<-25
32	1538		32<-45<-6<-48<-25
33	3831		33<-46<-5<-48<-25
34	4777		34<-45<-6<-48<-25
35	1817		35<-49<-6<-48<-25
36	1973		36<-35<-49<-6<-48<-25
37	4967		37<-45<-6<-48<-25
38	2090		38<-49<-6<-48<-25
39	1955		39<-45<-6<-48<-25
40	3981		40<-45<-6<-48<-25
41	2631		41<-49<-6<-48<-25
42	2416		42<-48<-25
43	2718		43<-49<-6<-48<-25
44	2787		44<-5<-48<-25
45	1529		45<-6<-48<-25
46	1847		46<-5<-48<-25
47	2770		47<-42<-48<-25
48	1202		48<-25
49	1534		49<-6<-48<-25
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 26
Cel	Dystans	Sciezka	
0	2337		0<-46<-9<-47<-28<-48<-26
1	4199		1<-49<-27<-26
2	4260		2<-3<-46<-9<-47<-28<-48<-26
3	2298		3<-46<-9<-47<-28<-48<-26
4	2584		4<-47<-28<-48<-26
5	3118		5<-48<-26
6	1147		6<-48<-26
7	3147		7<-6<-48<-26
8	1314		8<-47<-28<-48<-26
9	1752		9<-47<-28<-48<-26
10	3301		10<-48<-26
11	3713		11<-12<-47<-28<-48<-26
12	1799		12<-47<-28<-48<-26
13	3030		13<-44<-3<-46<-9<-47<-28<-48<-26
14	2427		14<-45<-49<-27<-26
15	1452		15<-48<-26
16	4804		16<-47<-28<-48<-26
17	4073		17<-44<-3<-46<-9<-47<-28<-48<-26
18	2794		18<-49<-27<-26
19	2432		19<-47<-28<-48<-26
20	2403		20<-48<-26
21	1612		21<-49<-27<-26
22	4843		22<-46<-9<-47<-28<-48<-26
23	4423		23<-47<-28<-48<-26
24	2344		24<-49<-27<-26
25	2541		25<-24<-49<-27<-26
26	0		26
27	515		27<-26
28	930		28<-48<-26
29	4063		29<-48<-26
30	1637		30<-48<-26
31	4488		31<-46<-9<-47<-28<-48<-26
32	4984		32<-33<-49<-27<-26
33	2443		33<-49<-27<-26
34	3485		34<-49<-27<-26
35	1820		35<-36<-49<-27<-26
36	1330		36<-49<-27<-26
37	5852		37<-48<-26
38	2973		38<-49<-27<-26
39	2811		39<-47<-28<-48<-26
40	976		40<-48<-26
41	2522		41<-45<-49<-27<-26
42	987		42<-48<-26
43	1719		43<-42<-48<-26
44	2815		44<-3<-46<-9<-47<-28<-48<-26
45	1897		45<-49<-27<-26
46	2000		46<-9<-47<-28<-48<-26
47	946		47<-28<-48<-26
48	883		48<-26
49	1232		49<-27<-26
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	1945		0<-47<-19
1	2327		1<-47<-19
2	653		2<-47<-19
3	1669		3<-2<-47<-19
4	2585		4<-47<-19
5	3277		5<-47<-19
6	2868		6<-49<-48<-43<-47<-19
7	3249		7<-46<-18<-19
8	6803		8<-47<-19
9	2031		9<-48<-43<-47<-19
10	3730		10<-44<-23<-48<-43<-47<-19
11	4250		11<-10<-44<-23<-48<-43<-47<-19
12	2290		12<-44<-23<-48<-43<-47<-19
13	2928		13<-48<-43<-47<-19
14	2244		14<-44<-23<-48<-43<-47<-19
15	6160		15<-44<-23<-48<-43<-47<-19
16	886		16<-47<-19
17	2809		17<-18<-19
18	2309		18<-19
19	0		19
20	1625		20<-48<-43<-47<-19
21	5692		21<-45<-48<-43<-47<-19
22	3553		22<-48<-43<-47<-19
23	2081		23<-48<-43<-47<-19
24	2883		24<-49<-48<-43<-47<-19
25	1078		25<-26<-47<-19
26	554		26<-47<-19
27	1385		27<-47<-19
28	3341		28<-48<-43<-47<-19
29	5248		29<-49<-48<-43<-47<-19
30	1708		30<-48<-43<-47<-19
31	4347		31<-48<-43<-47<-19
32	284		32<-47<-19
33	2855		33<-48<-43<-47<-19
34	2923		34<-47<-19
35	2957		35<-46<-18<-19
36	4565		36<-49<-48<-43<-47<-19
37	3285		37<-46<-18<-19
38	1813		38<-39<-48<-43<-47<-19
39	1408		39<-48<-43<-47<-19
40	1551		40<-48<-43<-47<-19
41	3101		41<-47<-19
42	6416		42<-49<-48<-43<-47<-19
43	1204		43<-47<-19
44	2193		44<-23<-48<-43<-47<-19
45	2649		45<-48<-43<-47<-19
46	2935		46<-18<-19
47	231		47<-19
48	1366		48<-43<-47<-19
49	2287		49<-48<-43<-47<-19
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 47
Cel	Dystans	Sciezka	
0	4232		0<-46<-1<-47
1	1352		1<-47
2	2024		2<-49<-44<-7<-47
3	4325		3<-45<-8<-48<-7<-47
4	2112		4<-49<-44<-7<-47
5	1971		5<-49<-44<-7<-47
6	1577		6<-48<-7<-47
7	178		7<-47
8	836		8<-48<-7<-47
9	3065		9<-45<-8<-48<-7<-47
10	1700		10<-47
11	718		11<-48<-7<-47
12	986		12<-11<-48<-7<-47
13	4454		13<-48<-7<-47
14	3742		14<-45<-8<-48<-7<-47
15	3176		15<-46<-1<-47
16	917		16<-48<-7<-47
17	826		17<-48<-7<-47
18	1797		18<-17<-48<-7<-47
19	1615		19<-47
20	2600		20<-44<-7<-47
21	1175		21<-47
22	2552		22<-46<-1<-47
23	1633		23<-49<-44<-7<-47
24	2474		24<-44<-7<-47
25	2368		25<-49<-44<-7<-47
26	2240		26<-48<-7<-47
27	951		27<-45<-8<-48<-7<-47
28	1819		28<-48<-7<-47
29	3003		29<-30<-47
30	1904		30<-47
31	1266		31<-48<-7<-47
32	2522		32<-33<-47
33	1484		33<-47
34	1985		34<-48<-7<-47
35	3202		35<-46<-1<-47
36	4089		36<-47
37	3429		37<-45<-8<-48<-7<-47
38	2556		38<-49<-44<-7<-47
39	1623		39<-45<-8<-48<-7<-47
40	1931		40<-45<-8<-48<-7<-47
41	4320		41<-45<-8<-48<-7<-47
42	1566		42<-49<-44<-7<-47
43	2469		43<-48<-7<-47
44	1068		44<-7<-47
45	915		45<-8<-48<-7<-47
46	1422		46<-1<-47
47	0		47
48	717		48<-7<-47
49	1492		49<-44<-7<-47
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 10
Cel	Dystans	Sciezka	
0	2653		0<-46<-10
1	1324		1<-47<-10
2	2369		2<-45<-25<-47<-10
3	2143		3<-46<-10
4	2093		4<-47<-10
5	3482		5<-45<-25<-47<-10
6	3803		6<-47<-10
7	2576		7<-46<-10
8	2053		8<-9<-46<-10
9	1945		9<-46<-10
10	0		10
11	3033		11<-12<-47<-10
12	2822		12<-47<-10
13	2242		13<-47<-10
14	4890		14<-44<-22<-47<-10
15	3281		15<-47<-10
16	1418		16<-47<-10
17	3677		17<-45<-25<-47<-10
18	4035		18<-47<-10
19	2554		19<-48<-10
20	1280		20<-47<-10
21	2143		21<-45<-25<-47<-10
22	2322		22<-47<-10
23	3786		23<-45<-25<-47<-10
24	3319		24<-48<-10
25	1708		25<-47<-10
26	2250		26<-48<-10
27	3897		27<-26<-48<-10
28	1331		28<-47<-10
29	1884		29<-48<-10
30	2251		30<-31<-47<-10
31	1548		31<-47<-10
32	2609		32<-46<-10
33	1975		33<-45<-25<-47<-10
34	2883		34<-47<-10
35	4389		35<-48<-10
36	3486		36<-46<-10
37	2140		37<-47<-10
38	5756		38<-37<-47<-10
39	3728		39<-49<-33<-45<-25<-47<-10
40	1198		40<-47<-10
41	2334		41<-40<-47<-10
42	5156		42<-49<-33<-45<-25<-47<-10
43	2744		43<-45<-25<-47<-10
44	3117		44<-22<-47<-10
45	1815		45<-25<-47<-10
46	1693		46<-10
47	897		47<-10
48	1435		48<-10
49	3276		49<-33<-45<-25<-47<-10
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 47
Cel	Dystans	Sciezka	
0	1085		0<-44<-18<-47
1	1453		1<-48<-19<-44<-18<-47
2	2071		2<-1<-48<-19<-44<-18<-47
3	2624		3<-46<-15<-48<-19<-44<-18<-47
4	5075		4<-3<-46<-15<-48<-19<-44<-18<-47
5	1935		5<-45<-1<-48<-19<-44<-18<-47
6	3586		6<-44<-18<-47
7	4263		7<-49<-15<-48<-19<-44<-18<-47
8	1852		8<-48<-19<-44<-18<-47
9	2394		9<-48<-19<-44<-18<-47
10	1337		10<-44<-18<-47
11	3785		11<-10<-44<-18<-47
12	752		12<-47
13	682		13<-47
14	2148		14<-45<-1<-48<-19<-44<-18<-47
15	622		15<-48<-19<-44<-18<-47
16	2282		16<-17<-48<-19<-44<-18<-47
17	1649		17<-48<-19<-44<-18<-47
18	170		18<-47
19	377		19<-44<-18<-47
20	780		20<-19<-44<-18<-47
21	2334		21<-46<-15<-48<-19<-44<-18<-47
22	1771		22<-47
23	757		23<-47
24	2118		24<-23<-47
25	2026		25<-44<-18<-47
26	909		26<-44<-18<-47
27	2416		27<-26<-44<-18<-47
28	1958		28<-49<-15<-48<-19<-44<-18<-47
29	3851		29<-30<-47
30	1700		30<-47
31	4181		31<-45<-1<-48<-19<-44<-18<-47
32	1513		32<-47
33	2325		33<-47
34	3031		34<-49<-15<-48<-19<-44<-18<-47
35	2186		35<-48<-19<-44<-18<-47
36	2229		36<-49<-15<-48<-19<-44<-18<-47
37	1214		37<-47
38	3967		38<-49<-15<-48<-19<-44<-18<-47
39	674		39<-48<-19<-44<-18<-47
40	1753		40<-46<-15<-48<-19<-44<-18<-47
41	98		41<-47
42	5039		42<-41<-47
43	7289		43<-49<-15<-48<-19<-44<-18<-47
44	244		44<-18<-47
45	1774		45<-1<-48<-19<-44<-18<-47
46	1514		46<-15<-48<-19<-44<-18<-47
47	0		47
48	580		48<-19<-44<-18<-47
49	1759		49<-15<-48<-19<-44<-18<-47
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 22
Cel	Dystans	Sciezka	
0	5039		0<-49<-45<-22
1	5902		1<-49<-45<-22
2	6267		2<-45<-22
3	5956		3<-49<-45<-22
4	5122		4<-49<-45<-22
5	4678		5<-49<-45<-22
6	5141		6<-48<-31<-47<-23<-22
7	3112		7<-8<-45<-22
8	2917		8<-45<-22
9	4638		9<-10<-45<-22
10	3984		10<-45<-22
11	5449		11<-49<-45<-22
12	5622		12<-45<-22
13	6788		13<-45<-22
14	6471		14<-44<-22
15	6251		15<-45<-22
16	3038		16<-45<-22
17	6980		17<-49<-45<-22
18	5235		18<-19<-45<-22
19	3442		19<-45<-22
20	4924		20<-49<-45<-22
21	4513		21<-49<-45<-22
22	0		22
23	2869		23<-22
24	7930		24<-23<-22
25	5866		25<-46<-44<-22
26	7610		26<-47<-23<-22
27	6215		27<-49<-45<-22
28	5719		28<-47<-23<-22
29	6445		29<-49<-45<-22
30	5091		30<-47<-23<-22
31	4822		31<-47<-23<-22
32	3020		32<-45<-22
33	5551		33<-46<-44<-22
34	3958		34<-35<-45<-22
35	3681		35<-45<-22
36	4417		36<-45<-22
37	3892		37<-45<-22
38	5312		38<-48<-31<-47<-23<-22
39	4597		39<-45<-22
40	8062		40<-48<-31<-47<-23<-22
41	5561		41<-47<-23<-22
42	6496		42<-48<-31<-47<-23<-22
43	3876		43<-49<-45<-22
44	4411		44<-22
45	2737		45<-22
46	5146		46<-44<-22
47	4463		47<-23<-22
48	4943		48<-31<-47<-23<-22
49	3867		49<-45<-22
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 42
Cel	Dystans	Sciezka	
0	7825		0<-1<-48<-42
1	6517		1<-48<-42
2	2871		2<-48<-42
3	4536		3<-49<-32<-48<-42
4	3680		4<-47<-28<-45<-44<-6<-48<-42
5	3814		5<-49<-32<-48<-42
6	1970		6<-48<-42
7	4356		7<-47<-28<-45<-44<-6<-48<-42
8	5782		8<-44<-6<-48<-42
9	4971		9<-49<-32<-48<-42
10	4039		10<-48<-42
11	5818		11<-48<-42
12	5138		12<-44<-6<-48<-42
13	3604		13<-48<-42
14	4655		14<-49<-32<-48<-42
15	4175		15<-47<-28<-45<-44<-6<-48<-42
16	4252		16<-49<-32<-48<-42
17	3315		17<-44<-6<-48<-42
18	3778		18<-48<-42
19	2209		19<-48<-42
20	4225		20<-47<-28<-45<-44<-6<-48<-42
21	5740		21<-48<-42
22	4049		22<-47<-28<-45<-44<-6<-48<-42
23	3465		23<-47<-28<-45<-44<-6<-48<-42
24	3753		24<-49<-32<-48<-42
25	3691		25<-48<-42
26	4170		26<-47<-28<-45<-44<-6<-48<-42
27	2232		27<-48<-42
28	3456		28<-45<-44<-6<-48<-42
29	4197		29<-46<-48<-42
30	3467		30<-31<-48<-42
31	3101		31<-48<-42
32	3408		32<-48<-42
33	4479		33<-45<-44<-6<-48<-42
34	7335		34<-49<-32<-48<-42
35	6055		35<-46<-48<-42
36	4149		36<-48<-42
37	4149		37<-46<-48<-42
38	4261		38<-46<-48<-42
39	5049		39<-49<-32<-48<-42
40	4310		40<-47<-28<-45<-44<-6<-48<-42
41	5564		41<-49<-32<-48<-42
42	0		42
43	3976		43<-44<-6<-48<-42
44	2455		44<-6<-48<-42
45	3383		45<-44<-6<-48<-42
46	4108		46<-48<-42
47	3457		47<-28<-45<-44<-6<-48<-42
48	705		48<-42
49	3644		49<-32<-48<-42
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 49
Cel	Dystans	Sciezka	
0	1913		0<-48<-22<-49
1	2603		1<-44<-21<-49
2	2266		2<-48<-22<-49
3	1858		3<-49
4	2938		4<-45<-22<-49
5	2379		5<-46<-10<-49
6	1828		6<-47<-25<-49
7	5477		7<-47<-25<-49
8	1784		8<-45<-22<-49
9	1482		9<-10<-49
10	1139		10<-49
11	254		11<-49
12	835		12<-48<-22<-49
13	1963		13<-49
14	767		14<-48<-22<-49
15	1823		15<-48<-22<-49
16	2349		16<-47<-25<-49
17	1030		17<-49
18	1955		18<-19<-49
19	914		19<-49
20	2768		20<-45<-22<-49
21	676		21<-49
22	231		22<-49
23	1849		23<-46<-10<-49
24	3873		24<-49
25	712		25<-49
26	762		26<-45<-22<-49
27	1296		27<-48<-22<-49
28	608		28<-49
29	1757		29<-28<-49
30	1348		30<-49
31	3057		31<-45<-22<-49
32	1100		32<-45<-22<-49
33	2556		33<-45<-22<-49
34	4911		34<-47<-25<-49
35	3988		35<-46<-10<-49
36	1615		36<-48<-22<-49
37	1115		37<-49
38	1460		38<-47<-25<-49
39	5457		39<-45<-22<-49
40	1616		40<-47<-25<-49
41	4033		41<-49
42	2673		42<-45<-22<-49
43	2387		43<-49
44	2137		44<-21<-49
45	612		45<-22<-49
46	1381		46<-10<-49
47	1365		47<-25<-49
48	715		48<-22<-49
49	0		49
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	2762		0<-44<-14
1	4726		1<-2<-44<-14
2	3665		2<-44<-14
3	4532		3<-4<-44<-14
4	4449		4<-44<-14
5	3227		5<-44<-14
6	3008		6<-44<-14
7	6253		7<-44<-14
8	8910		8<-7<-44<-14
9	5035		9<-45<-19<-47<-14
10	4561		10<-49<-31<-47<-14
11	3914		11<-44<-14
12	5687		12<-49<-31<-47<-14
13	5007		13<-45<-19<-47<-14
14	0		14
15	4228		15<-49<-31<-47<-14
16	4424		16<-49<-31<-47<-14
17	4512		17<-44<-14
18	3665		18<-19<-47<-14
19	3215		19<-47<-14
20	3019		20<-47<-14
21	5901		21<-20<-47<-14
22	4647		22<-47<-14
23	6349		23<-49<-31<-47<-14
24	3989		24<-44<-14
25	4907		25<-46<-44<-14
26	3830		26<-49<-31<-47<-14
27	5897		27<-45<-19<-47<-14
28	3458		28<-47<-14
29	5599		29<-30<-49<-31<-47<-14
30	4917		30<-49<-31<-47<-14
31	3234		31<-47<-14
32	4949		32<-31<-47<-14
33	4847		33<-45<-19<-47<-14
34	6159		34<-47<-14
35	5362		35<-49<-31<-47<-14
36	5369		36<-45<-19<-47<-14
37	5383		37<-47<-14
38	3086		38<-47<-14
39	4351		39<-47<-14
40	4440		40<-48<-19<-47<-14
41	4280		41<-47<-14
42	3268		42<-47<-14
43	4225		43<-44<-14
44	2632		44<-14
45	4546		45<-19<-47<-14
46	4178		46<-44<-14
47	2549		47<-14
48	3660		48<-19<-47<-14
49	3438		49<-31<-47<-14
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 37
Cel	Dystans	Sciezka	
0	3957		0<-45<-38<-37
1	4836		1<-0<-45<-38<-37
2	5089		2<-47<-31<-49<-36<-37
3	3912		3<-47<-31<-49<-36<-37
4	5969		4<-3<-47<-31<-49<-36<-37
5	2452		5<-49<-36<-37
6	3299		6<-5<-49<-36<-37
7	3100		7<-48<-5<-49<-36<-37
8	4238		8<-45<-38<-37
9	5441		9<-45<-38<-37
10	4960		10<-47<-31<-49<-36<-37
11	4495		11<-47<-31<-49<-36<-37
12	2596		12<-47<-31<-49<-36<-37
13	3170		13<-12<-47<-31<-49<-36<-37
14	2488		14<-49<-36<-37
15	2964		15<-14<-49<-36<-37
16	5133		16<-47<-31<-49<-36<-37
17	5509		17<-48<-5<-49<-36<-37
18	4935		18<-45<-38<-37
19	4194		19<-49<-36<-37
20	5828		20<-48<-5<-49<-36<-37
21	3609		21<-46<-22<-49<-36<-37
22	2668		22<-49<-36<-37
23	4265		23<-22<-49<-36<-37
24	3569		24<-46<-22<-49<-36<-37
25	3841		25<-47<-31<-49<-36<-37
26	5232		26<-47<-31<-49<-36<-37
27	3011		27<-48<-5<-49<-36<-37
28	4033		28<-29<-49<-36<-37
29	2698		29<-49<-36<-37
30	6414		30<-48<-5<-49<-36<-37
31	1797		31<-49<-36<-37
32	3860		32<-49<-36<-37
33	5406		33<-49<-36<-37
34	4420		34<-47<-31<-49<-36<-37
35	6618		35<-49<-36<-37
36	1091		36<-37
37	0		37
38	679		38<-37
39	5728		39<-49<-36<-37
40	6275		40<-45<-38<-37
41	4513		41<-48<-5<-49<-36<-37
42	4455		42<-47<-31<-49<-36<-37
43	3788		43<-49<-36<-37
44	4990		44<-21<-46<-22<-49<-36<-37
45	3097		45<-38<-37
46	3083		46<-22<-49<-36<-37
47	2306		47<-31<-49<-36<-37
48	2830		48<-5<-49<-36<-37
49	1767		49<-36<-37
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 29
Cel	Dystans	Sciezka	
0	4307		0<-46<-29
1	3672		1<-2<-46<-29
2	2418		2<-46<-29
3	1701		3<-46<-29
4	5191		4<-47<-29
5	2357		5<-47<-29
6	3922		6<-46<-29
7	6142		7<-48<-29
8	1760		8<-48<-29
9	4186		9<-46<-29
10	2823		10<-45<-34<-49<-36<-48<-29
11	3416		11<-47<-29
12	2408		12<-48<-29
13	2855		13<-48<-29
14	1838		14<-46<-29
15	1968		15<-48<-29
16	1609		16<-46<-29
17	2758		17<-48<-29
18	2467		18<-46<-29
19	4502		19<-18<-46<-29
20	3106		20<-48<-29
21	1988		21<-49<-36<-48<-29
22	3862		22<-46<-29
23	3134		23<-48<-29
24	2033		24<-47<-29
25	2481		25<-46<-29
26	3735		26<-46<-29
27	2799		27<-48<-29
28	2170		28<-46<-29
29	0		29
30	736		30<-29
31	4769		31<-45<-34<-49<-36<-48<-29
32	2488		32<-46<-29
33	3547		33<-34<-49<-36<-48<-29
34	1886		34<-49<-36<-48<-29
35	1933		35<-48<-29
36	1663		36<-48<-29
37	2172		37<-49<-36<-48<-29
38	3832		38<-47<-29
39	6615		39<-49<-36<-48<-29
40	1853		40<-49<-36<-48<-29
