Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	3151		0<-44<-18<-49<-45<-14
1	4135		1<-46<-29<-28<-45<-14
2	2933		2<-44<-18<-49<-45<-14
3	5255		3<-47<-28<-45<-14
4	2764		4<-46<-29<-28<-45<-14
5	4275		5<-48<-14
6	1956		6<-49<-45<-14
7	4830		7<-6<-49<-45<-14
8	3411		8<-47<-28<-45<-14
9	1938		9<-45<-14
10	2658		10<-44<-18<-49<-45<-14
11	2634		11<-48<-14
12	2135		12<-49<-45<-14
13	880		13<-14
14	0		14
15	2542		15<-46<-29<-28<-45<-14
16	3554		16<-46<-29<-28<-45<-14
17	4559		17<-47<-28<-45<-14
18	2013		18<-49<-45<-14
19	2891		19<-20<-49<-45<-14
20	1282		20<-49<-45<-14
21	4087		21<-49<-45<-14
22	3988		22<-44<-18<-49<-45<-14
23	2939		23<-49<-45<-14
24	2725		24<-46<-29<-28<-45<-14
25	2213		25<-49<-45<-14
26	4007		26<-44<-18<-49<-45<-14
27	1418		27<-28<-45<-14
28	1360		28<-45<-14
29	1578		29<-28<-45<-14
30	1586		30<-31<-49<-45<-14
31	1463		31<-49<-45<-14
32	3057		32<-47<-28<-45<-14
33	7301		33<-32<-47<-28<-45<-14
34	2687		34<-45<-14
35	2472		35<-36<-48<-14
36	2406		36<-48<-14
37	4262		37<-49<-45<-14
38	5027		38<-37<-49<-45<-14
39	3877		39<-49<-45<-14
40	2826		40<-46<-29<-28<-45<-14
41	2323		41<-46<-29<-28<-45<-14
42	2318		42<-49<-45<-14
43	2201		43<-49<-45<-14
44	2065		44<-18<-49<-45<-14
45	1206		45<-14
46	2079		46<-29<-28<-45<-14
47	3054		47<-28<-45<-14
48	1408		48<-14
49	1280		49<-45<-14
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 37
Cel	Dystans	Sciezka	
0	6452		0<-45<-37
1	5127		1<-45<-37
2	3481		2<-46<-37
3	4251		3<-4<-46<-37
4	3533		4<-46<-37
5	4062		5<-6<-49<-31<-45<-37
6	3638		6<-49<-31<-45<-37
7	4915		7<-45<-37
8	4766		8<-46<-37
9	4070		9<-10<-48<-49<-31<-45<-37
10	3715		10<-48<-49<-31<-45<-37
11	4659		11<-45<-37
12	4505		12<-47<-38<-45<-37
13	3354		13<-45<-37
14	4926		14<-49<-31<-45<-37
15	3705		15<-45<-37
16	6620		16<-15<-45<-37
17	8641		17<-45<-37
18	3505		18<-45<-37
19	4997		19<-49<-31<-45<-37
20	4164		20<-21<-45<-37
21	3730		21<-45<-37
22	6860		22<-21<-45<-37
23	4325		23<-49<-31<-45<-37
24	5199		24<-47<-38<-45<-37
25	6169		25<-47<-38<-45<-37
26	4881		26<-47<-38<-45<-37
27	5395		27<-46<-37
28	6340		28<-48<-49<-31<-45<-37
29	6728		29<-47<-38<-45<-37
30	4506		30<-46<-37
31	3036		31<-45<-37
32	2786		32<-45<-37
33	3725		33<-34<-45<-37
34	3395		34<-45<-37
35	3333		35<-46<-37
36	3564		36<-45<-37
37	0		37
38	3229		38<-45<-37
39	5158		39<-48<-49<-31<-45<-37
40	3595		40<-46<-37
41	3613		41<-46<-37
42	5339		42<-46<-37
43	4730		43<-45<-37
44	4923		44<-7<-45<-37
45	2363		45<-37
46	3107		46<-37
47	3881		47<-38<-45<-37
48	3653		48<-49<-31<-45<-37
49	3531		49<-31<-45<-37
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 43
Cel	Dystans	Sciezka	
0	3947		0<-45<-48<-43
1	3588		1<-48<-43
2	4777		2<-45<-48<-43
3	5063		3<-2<-45<-48<-43
4	3907		4<-44<-43
5	5376		5<-47<-42<-48<-43
6	5812		6<-5<-47<-42<-48<-43
7	5262		7<-49<-43
8	5577		8<-48<-43
9	3795		9<-48<-43
10	4074		10<-47<-42<-48<-43
11	4834		11<-47<-42<-48<-43
12	6693		12<-48<-43
13	4151		13<-47<-42<-48<-43
14	3750		14<-48<-43
15	4816		15<-46<-47<-42<-48<-43
16	4470		16<-48<-43
17	3928		17<-44<-43
18	3498		18<-48<-43
19	6915		19<-20<-49<-43
20	3091		20<-49<-43
21	5383		21<-49<-43
22	4066		22<-45<-48<-43
23	4846		23<-48<-43
24	5075		24<-46<-47<-42<-48<-43
25	3281		25<-49<-43
26	3688		26<-49<-43
27	4069		27<-26<-49<-43
28	3583		28<-49<-43
29	7055		29<-48<-43
30	4583		30<-47<-42<-48<-43
31	4022		31<-49<-43
32	4563		32<-45<-48<-43
33	3654		33<-48<-43
34	4155		34<-46<-47<-42<-48<-43
35	3578		35<-49<-43
36	4479		36<-35<-49<-43
37	6477		37<-48<-43
38	5143		38<-46<-47<-42<-48<-43
39	6579		39<-49<-43
40	4221		40<-47<-42<-48<-43
41	4650		41<-46<-47<-42<-48<-43
42	3401		42<-48<-43
43	0		43
44	3143		44<-43
45	3821		45<-48<-43
46	4066		46<-47<-42<-48<-43
47	3763		47<-42<-48<-43
48	3329		48<-43
49	2891		49<-43
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 42
Cel	Dystans	Sciezka	
0	1677		0<-49<-22<-46<-42
1	3845		1<-0<-49<-22<-46<-42
2	3185		2<-47<-46<-42
3	1722		3<-44<-43<-42
4	3080		4<-45<-49<-22<-46<-42
5	1663		5<-6<-46<-42
6	806		6<-46<-42
7	1050		7<-47<-46<-42
8	1849		8<-46<-42
9	2211		9<-10<-49<-22<-46<-42
10	1376		10<-49<-22<-46<-42
11	1797		11<-10<-49<-22<-46<-42
12	4322		12<-13<-45<-49<-22<-46<-42
13	1384		13<-45<-49<-22<-46<-42
14	2273		14<-13<-45<-49<-22<-46<-42
15	1318		15<-47<-46<-42
16	1220		16<-46<-42
17	4454		17<-48<-10<-49<-22<-46<-42
18	2779		18<-19<-44<-43<-42
19	2588		19<-44<-43<-42
20	1181		20<-49<-22<-46<-42
21	1611		21<-45<-49<-22<-46<-42
22	741		22<-46<-42
23	2910		23<-48<-10<-49<-22<-46<-42
24	3301		24<-25<-46<-42
25	1158		25<-46<-42
26	1506		26<-47<-46<-42
27	1595		27<-26<-47<-46<-42
28	1871		28<-49<-22<-46<-42
29	2012		29<-46<-42
30	2432		30<-31<-48<-10<-49<-22<-46<-42
31	2182		31<-48<-10<-49<-22<-46<-42
32	1459		32<-47<-46<-42
33	1680		33<-48<-10<-49<-22<-46<-42
34	2213		34<-33<-48<-10<-49<-22<-46<-42
35	1519		35<-49<-22<-46<-42
36	3011		36<-45<-49<-22<-46<-42
37	4100		37<-45<-49<-22<-46<-42
38	4451		38<-45<-49<-22<-46<-42
39	2992		39<-45<-49<-22<-46<-42
40	732		40<-46<-42
41	1575		41<-40<-46<-42
42	0		42
43	1532		43<-42
44	1664		44<-43<-42
45	1233		45<-49<-22<-46<-42
46	520		46<-42
47	1012		47<-46<-42
48	1399		48<-10<-49<-22<-46<-42
49	995		49<-22<-46<-42
Ilosc krawedzi 306 Ilosc wierzcholkow 50 Wierzcholek startowy 25
Cel	Dystans	Sciezka	
0	4048		0<-49<-6<-48<-25
1	3765		1<-45<-6<-48<-25
2	4160		2<-46<-5<-48<-25
3	2310		3<-45<-6<-48<-25
4	2590		4<-46<-5<-48<-25
5	1692		5<-48<-25
6	1338		6<-48<-25
7	5338		7<-45<-6<-48<-25
8	2598		8<-46<-5<-48<-25
9	1949		9<-49<-6<-48<-25
10	2076		10<-49<-6<-48<-25
11	2105		11<-12<-49<-6<-48<-25
12	1694		12<-49<-6<-48<-25
13	1817		13<-48<-25
14	1674		14<-48<-25
15	1793		15<-45<-6<-48<-25
16	2878		16<-45<-6<-48<-25
17	5722		17<-46<-5<-48<-25
18	3116		18<-46<-5<-48<-25
19	3658		19<-18<-46<-5<-48<-25
20	4905		20<-46<-5<-48<-25
