Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
7	2775		7<-8<-9
8	1956		8<-9
9	0		9
10	1604		10<-9
11	3679		11<-19<-9
12	5892		12<-11<-19<-9
13	5090		13<-19<-9
14	7679		14<-13<-19<-9
15	6657		15<-16<-19<-9
16	4972		16<-19<-9
17	7531		17<-16<-19<-9
18	3234		18<-9
19	3605		19<-9
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 13
Cel	Dystans	Sciezka	
0	11232		0<-19<-14<-13
1	12065		1<-19<-14<-13
2	9543		2<-19<-14<-13
3	12768		3<-19<-14<-13
4	13318		4<-19<-14<-13
5	13101		5<-18<-0<-19<-14<-13
6	12580		6<-19<-14<-13
7	14959		7<-8<-19<-14<-13
8	11813		8<-19<-14<-13
9	7171		9<-19<-14<-13
10	6431		10<-11<-12<-13
11	6333		11<-12<-13
12	2072		12<-13
13	0		13
14	3650		14<-13
15	9299		15<-14<-13
16	9180		16<-19<-14<-13
17	15621		17<-19<-14<-13
18	12409		18<-0<-19<-14<-13
19	5853		19<-14<-13
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 12
Cel	Dystans	Sciezka	
0	5467		0<-1<-19<-13<-12
1	2887		1<-19<-13<-12
2	2734		2<-19<-13<-12
3	5803		3<-4<-5<-19<-13<-12
4	3278		4<-5<-19<-13<-12
5	1555		5<-19<-13<-12
6	6415		6<-5<-19<-13<-12
7	2353		7<-19<-13<-12
8	3444		8<-7<-19<-13<-12
9	1868		9<-19<-13<-12
10	7089		10<-11<-12
11	1697		11<-12
12	0		12
13	610		13<-12
14	2378		14<-13<-12
15	3323		15<-19<-13<-12
16	3769		16<-19<-13<-12
17	5963		17<-19<-13<-12
18	4095		18<-19<-13<-12
19	1328		19<-13<-12
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 11
Cel	Dystans	Sciezka	
0	10935		0<-18<-9<-10<-11
1	10926		1<-19<-11
2	13320		2<-19<-11
3	14338		3<-19<-11
4	9795		4<-19<-11
5	12097		5<-4<-19<-11
6	14261		6<-7<-19<-11
7	11419		7<-19<-11
8	10155		8<-19<-11
9	7179		9<-10<-11
10	4567		10<-11
11	0		11
12	8406		12<-11
13	9179		13<-12<-11
14	17617		14<-19<-11
15	15116		15<-16<-17<-18<-9<-10<-11
16	14385		16<-17<-18<-9<-10<-11
17	13146		17<-18<-9<-10<-11
18	10642		18<-9<-10<-11
19	8073		19<-11
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	2692		0<-19<-9
1	2470		1<-19<-9
2	5518		2<-1<-19<-9
3	5323		3<-18<-1<-19<-9
4	2957		4<-19<-9
5	4855		5<-19<-9
6	7157		6<-5<-19<-9
7	6640		7<-19<-9
8	7294		8<-7<-19<-9
9	0		9
10	6857		10<-9
11	2579		11<-19<-9
12	4442		12<-11<-19<-9
13	5802		13<-12<-11<-19<-9
14	5882		14<-19<-9
15	4143		15<-19<-9
16	3170		16<-19<-9
17	5318		17<-16<-19<-9
18	4180		18<-1<-19<-9
19	2113		19<-9
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 10
Cel	Dystans	Sciezka	
0	8325		0<-19<-10
1	6221		1<-2<-19<-10
2	5811		2<-19<-10
3	9930		3<-19<-10
4	13575		4<-19<-10
5	9047		5<-6<-19<-10
6	4287		6<-19<-10
7	8764		7<-19<-10
8	8606		8<-19<-10
9	7577		9<-10
10	0		10
11	4413		11<-10
12	5740		12<-11<-10
13	4212		13<-19<-10
14	6848		14<-13<-19<-10
15	10243		15<-14<-13<-19<-10
16	9484		16<-19<-10
17	10680		17<-19<-10
18	9348		18<-2<-19<-10
19	3725		19<-10
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 8
Cel	Dystans	Sciezka	
0	4281		0<-1<-18<-8
1	2105		1<-18<-8
2	2159		2<-18<-8
3	3932		3<-18<-8
4	5750		4<-5<-6<-7<-8
5	4002		5<-6<-7<-8
6	3673		6<-7<-8
7	109		7<-8
8	0		8
9	4683		9<-19<-3<-18<-8
10	7523		10<-9<-19<-3<-18<-8
11	6850		11<-19<-3<-18<-8
12	11384		12<-13<-19<-3<-18<-8
13	6973		13<-19<-3<-18<-8
14	8582		14<-13<-19<-3<-18<-8
15	4253		15<-19<-3<-18<-8
16	4603		16<-15<-19<-3<-18<-8
17	7698		17<-16<-15<-19<-3<-18<-8
18	1098		18<-8
19	4174		19<-3<-18<-8
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 10
Cel	Dystans	Sciezka	
0	4025		0<-18<-9<-10
1	4550		1<-18<-9<-10
2	4358		2<-3<-19<-18<-9<-10
3	3964		3<-19<-18<-9<-10
4	4271		4<-3<-19<-18<-9<-10
5	9525		5<-18<-9<-10
6	9824		6<-7<-19<-18<-9<-10
7	5890		7<-19<-18<-9<-10
8	6092		8<-7<-19<-18<-9<-10
9	2448		9<-10
10	0		10
11	804		11<-10
12	7672		12<-11<-10
13	10262		13<-19<-18<-9<-10
14	8880		14<-19<-18<-9<-10
15	4379		15<-19<-18<-9<-10
16	4988		16<-19<-18<-9<-10
17	6872		17<-16<-19<-18<-9<-10
18	2999		18<-9<-10
19	3638		19<-18<-9<-10
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 5
Cel	Dystans	Sciezka	
0	5920		0<-19<-5
1	8104		1<-0<-19<-5
2	9409		2<-19<-5
3	6428		3<-18<-5
4	6323		4<-19<-5
5	0		5
6	5063		6<-5
7	2539		7<-18<-5
8	2872		8<-18<-5
9	4069		9<-8<-18<-5
10	5077		10<-19<-5
11	4603		11<-19<-5
12	7189		12<-11<-19<-5
13	6114		13<-19<-5
14	7066		14<-15<-19<-5
15	3227		15<-19<-5
16	3577		16<-15<-19<-5
17	5148		17<-16<-15<-19<-5
18	1341		18<-5
19	2658		19<-5
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	8020		0<-1<-2<-3
1	6949		1<-2<-3
2	6306		2<-3
3	0		3
4	3695		4<-3
5	7464		5<-6<-19<-4<-3
6	5940		6<-19<-4<-3
7	9410		7<-18<-19<-4<-3
8	9030		8<-18<-19<-4<-3
9	10259		9<-19<-4<-3
10	7756		10<-19<-4<-3
11	7894		11<-10<-19<-4<-3
12	9828		12<-11<-10<-19<-4<-3
13	8398		13<-19<-4<-3
14	10200		14<-19<-4<-3
15	11375		15<-19<-4<-3
16	8572		16<-19<-4<-3
17	7881		17<-18<-19<-4<-3
18	6586		18<-19<-4<-3
19	5608		19<-4<-3
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 8
Cel	Dystans	Sciezka	
0	8579		0<-19<-8
1	9528		1<-2<-19<-8
2	8477		2<-19<-8
3	7707		3<-19<-8
4	9908		4<-19<-8
5	11756		5<-6<-19<-8
6	2805		6<-19<-8
7	4542		7<-8
8	0		8
9	6257		9<-8
10	8042		10<-11<-19<-8
11	7497		11<-19<-8
12	10903		12<-11<-19<-8
13	8414		13<-19<-8
14	3512		14<-19<-8
15	4224		15<-14<-19<-8
16	8562		16<-19<-8
17	8814		17<-19<-8
18	9283		18<-7<-8
19	2208		19<-8
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	17136		0<-19<-9
1	10936		1<-18<-9
2	12560		2<-19<-9
3	11632		3<-18<-9
4	12977		4<-18<-9
5	15693		5<-19<-9
6	13826		6<-19<-9
7	10223		7<-19<-9
8	7881		8<-9
9	0		9
10	6864		10<-9
11	12148		11<-19<-9
12	12564		12<-11<-19<-9
13	11906		13<-14<-19<-9
14	11463		14<-19<-9
15	17547		15<-19<-9
16	12365		16<-17<-19<-9
17	10787		17<-19<-9
18	9956		18<-9
19	8463		19<-9
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 5
Cel	Dystans	Sciezka	
0	7961		0<-19<-5
1	1373		1<-19<-5
2	6562		2<-1<-19<-5
3	5699		3<-19<-5
4	7773		4<-5
5	0		5
6	2100		6<-5
7	3427		7<-6<-5
8	5364		8<-19<-5
9	6280		9<-10<-19<-5
10	5700		10<-19<-5
11	5822		11<-19<-5
12	5696		12<-19<-5
13	8521		13<-12<-19<-5
14	8161		14<-15<-16<-19<-5
15	5484		15<-16<-19<-5
16	5012		16<-19<-5
17	9895		17<-16<-19<-5
18	5915		18<-7<-6<-5
19	1046		19<-5
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 7
Cel	Dystans	Sciezka	
0	6262		0<-1<-18<-19<-6<-7
1	5179		1<-18<-19<-6<-7
2	6515		2<-19<-6<-7
3	3170		3<-19<-6<-7
4	8763		4<-19<-6<-7
5	5292		5<-18<-19<-6<-7
6	2393		6<-7
7	0		7
8	1654		8<-7
9	2042		9<-8<-7
10	7535		10<-19<-6<-7
11	6356		11<-19<-6<-7
12	4146		12<-19<-6<-7
13	11527		13<-14<-19<-6<-7
14	10584		14<-19<-6<-7
15	10369		15<-19<-6<-7
16	11445		16<-15<-19<-6<-7
17	6730		17<-18<-19<-6<-7
18	3574		18<-19<-6<-7
19	2876		19<-6<-7
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 18
Cel	Dystans	Sciezka	
0	3094		0<-18
1	1423		1<-18
2	8037		2<-18
3	8272		3<-18
4	5983		4<-18
5	9056		5<-18
6	6650		6<-18
7	2831		7<-18
8	7045		8<-18
9	5883		9<-19<-7<-18
10	9174		10<-19<-7<-18
11	8438		11<-19<-7<-18
12	9458		12<-11<-19<-7<-18
13	6413		13<-19<-7<-18
14	12086		14<-15<-19<-7<-18
15	10448		15<-19<-7<-18
16	6284		16<-19<-7<-18
17	6454		17<-18
18	0		18
19	3912		19<-7<-18
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 16
Cel	Dystans	Sciezka	
0	9780		0<-19<-16
1	7482		1<-19<-16
2	12452		2<-19<-16
3	10128		3<-18<-1<-19<-16
4	9612		4<-19<-16
5	15036		5<-6<-19<-16
6	9561		6<-19<-16
7	7818		7<-19<-16
8	10143		8<-18<-1<-19<-16
9	10667		9<-18<-1<-19<-16
10	8547		10<-19<-16
11	12626		11<-19<-16
12	14053		12<-19<-16
13	7222		13<-19<-16
14	9558		14<-13<-19<-16
15	4871		15<-16
16	0		16
17	9478		17<-16
18	9706		18<-1<-19<-16
19	6656		19<-16
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 17
Cel	Dystans	Sciezka	
0	3982		0<-19<-17
1	7859		1<-2<-19<-17
2	4593		2<-19<-17
3	8098		3<-2<-19<-17
4	4223		4<-19<-17
5	5131		5<-19<-17
6	3457		6<-19<-17
7	5777		7<-6<-19<-17
8	7315		8<-18<-6<-19<-17
9	3050		9<-19<-17
10	8091		10<-9<-19<-17
11	6851		11<-19<-17
12	7879		12<-11<-19<-17
13	9723		13<-14<-15<-19<-17
14	5574		14<-15<-19<-17
15	2902		15<-19<-17
16	5609		16<-17
17	0		17
18	3520		18<-6<-19<-17
19	1988		19<-17
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 2
Cel	Dystans	Sciezka	
0	6044		0<-1<-19<-2
1	4077		1<-19<-2
2	0		2
3	4950		3<-2
4	4760		4<-19<-2
5	5136		5<-18<-2
6	3983		6<-18<-2
7	6061		7<-8<-18<-2
8	3008		8<-18<-2
9	2974		9<-19<-2
10	1848		10<-19<-2
11	4437		11<-19<-2
12	9182		12<-11<-19<-2
13	5414		13<-19<-2
14	5738		14<-19<-2
15	7259		15<-14<-19<-2
16	7441		16<-19<-2
17	3345		17<-18<-2
18	196		18<-2
19	1438		19<-2
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 1
Cel	Dystans	Sciezka	
0	9568		0<-18<-1
1	0		1
2	4057		2<-1
3	4300		3<-19<-1
4	4193		4<-18<-1
5	4983		5<-18<-1
6	7089		6<-19<-1
7	10228		7<-19<-1
8	8487		8<-9<-19<-1
9	5717		9<-19<-1
10	7831		10<-9<-19<-1
11	10994		11<-19<-1
12	5580		12<-19<-1
13	5395		13<-19<-1
14	6844		14<-13<-19<-1
15	7361		15<-14<-13<-19<-1
16	8079		16<-19<-1
17	8135		17<-16<-19<-1
18	3149		18<-1
19	4002		19<-1
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 7
Cel	Dystans	Sciezka	
0	1426		0<-18<-7
1	2705		1<-18<-7
2	2496		2<-19<-9<-18<-7
3	4594		3<-2<-19<-9<-18<-7
4	3766		4<-5<-18<-7
5	3424		5<-18<-7
6	4326		6<-18<-7
7	0		7
8	1578		8<-18<-7
9	968		9<-18<-7
10	9291		10<-9<-18<-7
11	5668		11<-19<-9<-18<-7
12	2550		12<-19<-9<-18<-7
13	2252		13<-19<-9<-18<-7
14	6933		14<-13<-19<-9<-18<-7
15	4586		15<-19<-9<-18<-7
16	4877		16<-15<-19<-9<-18<-7
17	2577		17<-18<-7
18	834		18<-7
19	1834		19<-9<-18<-7
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 17
Cel	Dystans	Sciezka	
0	6276		0<-19<-17
1	8622		1<-18<-17
2	8831		2<-18<-17
3	7550		3<-4<-19<-17
4	5135		4<-19<-17
5	6111		5<-18<-17
6	13851		6<-18<-17
7	8424		7<-8<-19<-17
8	6691		8<-19<-17
9	9677		9<-19<-17
10	13055		10<-19<-17
11	9361		11<-12<-13<-14<-19<-17
12	8432		12<-13<-14<-19<-17
13	6445		13<-14<-19<-17
14	5290		14<-19<-17
15	11615		15<-14<-19<-17
16	9206		16<-17
17	0		17
18	5399		18<-17
19	5023		19<-17
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 10
Cel	Dystans	Sciezka	
0	8756		0<-1<-18<-5<-19<-10
1	4063		1<-18<-5<-19<-10
2	3163		2<-18<-5<-19<-10
3	3678		3<-18<-5<-19<-10
4	8091		4<-5<-19<-10
5	2094		5<-19<-10
6	8842		6<-5<-19<-10
7	5111		7<-8<-19<-10
8	2396		8<-19<-10
9	4433		9<-18<-5<-19<-10
10	0		10
11	2263		11<-10
12	3081		12<-11<-10
13	7516		13<-19<-10
14	3741		14<-19<-10
15	2918		15<-19<-10
16	3512		16<-19<-10
17	5367		17<-18<-5<-19<-10
18	3037		18<-5<-19<-10
19	1553		19<-10
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 12
Cel	Dystans	Sciezka	
0	4009		0<-17<-12
1	3217		1<-18<-12
2	2779		2<-16<-12
3	2762		3<-18<-12
4	5922		4<-16<-12
5	1931		5<-17<-12
6	5902		6<-5<-17<-12
7	4301		7<-16<-12
8	5174		8<-16<-12
9	4091		9<-15<-3<-18<-12
10	5594		10<-19<-17<-12
11	4055		11<-19<-17<-12
12	0		12
13	4385		13<-14<-17<-12
14	4005		14<-17<-12
15	3195		15<-3<-18<-12
16	2270		16<-12
17	1719		17<-12
18	1559		18<-12
19	3474		19<-17<-12
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	1786		0<-19
1	1253		1<-19
2	3793		2<-19
3	3884		3<-2<-19
4	2336		4<-18<-5<-19
5	1210		5<-19
6	3275		6<-17<-5<-19
7	5738		7<-16<-6<-17<-5<-19
8	2971		8<-18<-5<-19
9	1916		9<-19
10	3682		10<-18<-5<-19
11	2817		11<-17<-5<-19
12	2671		12<-18<-5<-19
13	6809		13<-16<-6<-17<-5<-19
14	1110		14<-19
15	3703		15<-17<-5<-19
16	4210		16<-6<-17<-5<-19
17	1987		17<-5<-19
18	2207		18<-5<-19
19	0		19
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 6
Cel	Dystans	Sciezka	
0	2817		0<-1<-16<-8<-7<-6
1	2392		1<-16<-8<-7<-6
2	3185		2<-18<-19<-7<-6
3	3137		3<-18<-19<-7<-6
4	3384		4<-19<-7<-6
5	4438		5<-6
6	0		6
7	1168		7<-6
8	2079		8<-7<-6
9	2605		9<-19<-7<-6
10	6641		10<-11<-16<-8<-7<-6
11	3234		11<-16<-8<-7<-6
12	3029		12<-19<-7<-6
13	4263		13<-12<-19<-7<-6
14	9137		14<-16<-8<-7<-6
15	2485		15<-6
16	2329		16<-8<-7<-6
17	3142		17<-16<-8<-7<-6
18	2520		18<-19<-7<-6
19	2184		19<-7<-6
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	7874		0<-15<-19<-3
1	7124		1<-18<-3
2	4248		2<-17<-11<-18<-3
3	0		3
4	2977		4<-5<-19<-3
5	1729		5<-19<-3
6	4059		6<-19<-3
7	5880		7<-16<-11<-18<-3
8	2993		8<-9<-18<-3
9	1875		9<-18<-3
10	5716		10<-18<-3
11	2635		11<-18<-3
12	1011		12<-18<-3
13	1080		13<-18<-3
14	5165		14<-19<-3
15	1501		15<-19<-3
16	2876		16<-11<-18<-3
17	3741		17<-11<-18<-3
18	982		18<-3
19	80		19<-3
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	6398		0<-15<-5<-18<-2<-19<-3
1	2735		1<-18<-2<-19<-3
2	2089		2<-19<-3
3	0		3
4	5013		4<-16<-2<-19<-3
5	3156		5<-18<-2<-19<-3
6	3238		6<-18<-2<-19<-3
7	6505		7<-19<-3
8	4852		8<-18<-2<-19<-3
9	3288		9<-17<-19<-3
10	3553		10<-18<-2<-19<-3
11	3273		11<-17<-19<-3
12	5164		12<-19<-3
13	5516		13<-18<-2<-19<-3
14	5432		14<-15<-5<-18<-2<-19<-3
15	3735		15<-5<-18<-2<-19<-3
16	3678		16<-2<-19<-3
17	3026		17<-19<-3
18	2698		18<-2<-19<-3
19	2064		19<-3
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 2
Cel	Dystans	Sciezka	
0	5045		0<-15<-2
1	3763		1<-17<-2
2	0		2
3	5957		3<-2
4	3740		4<-17<-2
5	4678		5<-18<-13<-14<-15<-2
6	5938		6<-15<-2
7	2540		7<-15<-2
8	5033		8<-16<-2
9	3068		9<-15<-2
10	4484		10<-19<-17<-2
11	3527		11<-19<-17<-2
12	8838		12<-18<-13<-14<-15<-2
13	3571		13<-14<-15<-2
14	3096		14<-15<-2
15	2348		15<-2
16	3773		16<-2
17	3041		17<-2
18	4359		18<-13<-14<-15<-2
19	3048		19<-17<-2
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 16
Cel	Dystans	Sciezka	
0	2586		0<-17<-2<-16
1	1542		1<-16
2	398		2<-16
3	596		3<-2<-16
4	3950		4<-16
5	4073		5<-16
6	3820		6<-15<-18<-16
7	5925		7<-16
8	2125		8<-19<-2<-16
9	1491		9<-19<-2<-16
10	4337		10<-19<-2<-16
11	3494		11<-19<-2<-16
12	1159		12<-18<-16
13	5377		13<-12<-18<-16
14	3691		14<-19<-2<-16
15	1296		15<-18<-16
16	0		16
17	2069		17<-2<-16
18	348		18<-16
19	536		19<-2<-16
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	3292		0<-16<-3
1	4065		1<-18<-3
2	3463		2<-3
3	0		3
4	1370		4<-3
5	2176		5<-18<-3
6	3899		6<-5<-18<-3
7	4393		7<-15<-3
8	5637		8<-18<-3
9	6206		9<-10<-18<-3
10	2081		10<-18<-3
11	3132		11<-18<-3
12	2254		12<-18<-3
13	2874		13<-12<-18<-3
14	4807		14<-16<-3
15	3946		15<-3
16	2593		16<-3
17	3979		17<-0<-16<-3
18	281		18<-3
19	2646		19<-5<-18<-3
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 16
Cel	Dystans	Sciezka	
0	4293		0<-15<-6<-16
1	3265		1<-19<-16
2	1272		2<-16
3	5153		3<-2<-16
4	4657		4<-17<-19<-16
5	4228		5<-18<-12<-13<-16
6	632		6<-16
7	3392		7<-6<-16
8	249		8<-16
9	2689		9<-8<-16
10	2842		10<-16
11	3983		11<-12<-13<-16
12	3268		12<-13<-16
13	2685		13<-16
14	3347		14<-16
15	3824		15<-6<-16
16	0		16
17	4017		17<-19<-16
18	3852		18<-12<-13<-16
19	3147		19<-16
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 16
Cel	Dystans	Sciezka	
0	1485		0<-15<-16
1	2390		1<-15<-16
2	2195		2<-16
3	2337		3<-17<-16
4	1372		4<-16
5	181		5<-16
6	641		6<-5<-16
7	1336		7<-6<-5<-16
8	2018		8<-7<-6<-5<-16
9	6013		9<-16
10	3577		10<-19<-13<-17<-16
11	2303		11<-17<-16
12	1003		12<-16
13	2214		13<-17<-16
14	3996		14<-19<-13<-17<-16
15	541		15<-16
16	0		16
17	950		17<-16
18	2281		18<-5<-16
19	2619		19<-13<-17<-16
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	3888		0<-17<-16<-19
1	3162		1<-17<-16<-19
2	2257		2<-17<-16<-19
3	4446		3<-19
4	2721		4<-18<-9<-17<-16<-19
5	597		5<-17<-16<-19
6	1481		6<-16<-19
7	3160		7<-8<-18<-9<-17<-16<-19
8	1715		8<-18<-9<-17<-16<-19
9	1209		9<-17<-16<-19
10	1034		10<-16<-19
11	1312		11<-16<-19
12	2969		12<-18<-9<-17<-16<-19
13	3102		13<-16<-19
14	3753		14<-17<-16<-19
15	2569		15<-5<-17<-16<-19
16	339		16<-19
17	356		17<-16<-19
18	1602		18<-9<-17<-16<-19
19	0		19
Ilosc krawedzi 95 Ilosc wierzcholkow 20 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	3387		0<-17<-5<-18<-3
1	3542		1<-18<-3
