Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	3884		0<-18<-7<-19
1	4858		1<-2<-18<-7<-19
2	3742		2<-18<-7<-19
3	2788		3<-19
4	3330		4<-19
5	4909		5<-18<-7<-19
6	3510		6<-19
7	1490		7<-19
8	2012		8<-7<-19
9	5220		9<-18<-7<-19
10	6209		10<-19
11	1462		11<-19
12	3794		12<-19
13	4670		13<-12<-19
14	4456		14<-19
15	959		15<-19
16	4880		16<-15<-19
17	4595		17<-19
18	3308		18<-7<-19
19	0		19
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	6703		0<-19<-8<-9
1	9095		1<-0<-19<-8<-9
2	7985		2<-19<-8<-9
3	5674		3<-4<-19<-8<-9
4	5076		4<-19<-8<-9
5	6218		5<-19<-8<-9
6	11176		6<-18<-5<-19<-8<-9
7	4964		7<-8<-9
8	2282		8<-9
9	0		9
10	7781		10<-9
11	6305		11<-12<-19<-8<-9
12	5655		12<-19<-8<-9
13	6003		13<-19<-8<-9
14	11042		14<-19<-8<-9
15	12605		15<-19<-8<-9
16	12891		16<-15<-19<-8<-9
17	10641		17<-18<-5<-19<-8<-9
18	8267		18<-5<-19<-8<-9
19	5063		19<-8<-9
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 12
Cel	Dystans	Sciezka	
0	8015		0<-19<-13<-12
1	6674		1<-19<-13<-12
2	12676		2<-1<-19<-13<-12
3	9756		3<-19<-13<-12
4	9606		4<-19<-13<-12
5	12917		5<-4<-19<-13<-12
6	13184		6<-19<-13<-12
7	12797		7<-19<-13<-12
8	11098		8<-9<-19<-13<-12
9	8548		9<-19<-13<-12
10	13998		10<-19<-13<-12
11	7811		11<-12
12	0		12
13	1789		13<-12
14	4830		14<-13<-12
15	6028		15<-14<-13<-12
16	9231		16<-15<-14<-13<-12
17	12291		17<-19<-13<-12
18	10640		18<-1<-19<-13<-12
19	5894		19<-13<-12
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	3754		0<-18<-9
1	6138		1<-18<-9
2	6381		2<-18<-9
3	9753		3<-2<-18<-9
4	7135		4<-19<-0<-18<-9
5	8359		5<-6<-18<-9
6	3036		6<-18<-9
7	7395		7<-18<-9
8	3993		8<-9
9	0		9
10	6431		10<-9
11	8595		11<-19<-0<-18<-9
12	11511		12<-19<-0<-18<-9
13	7325		13<-19<-0<-18<-9
14	8319		14<-19<-0<-18<-9
15	5710		15<-19<-0<-18<-9
16	5782		16<-19<-0<-18<-9
17	4542		17<-18<-9
18	2727		18<-9
19	3980		19<-0<-18<-9
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 18
Cel	Dystans	Sciezka	
0	3351		0<-19<-18
1	2261		1<-18
2	2165		2<-3<-18
3	591		3<-18
4	630		4<-3<-18
5	1145		5<-4<-3<-18
6	1500		6<-19<-18
7	3635		7<-19<-18
8	3708		8<-19<-18
9	5225		9<-8<-19<-18
10	7912		10<-11<-19<-18
11	4226		11<-19<-18
12	1727		12<-19<-18
13	1886		13<-19<-18
14	2151		14<-19<-18
15	3141		15<-16<-19<-18
16	2400		16<-19<-18
17	6045		17<-16<-19<-18
18	0		18
19	648		19<-18
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	12		0<-19
1	309		1<-18<-19
2	1809		2<-1<-18<-19
3	3941		3<-2<-1<-18<-19
4	3486		4<-18<-19
5	3214		5<-19
6	5510		6<-7<-8<-18<-19
7	3420		7<-8<-18<-19
8	1880		8<-18<-19
9	2757		9<-8<-18<-19
10	5969		10<-19
11	3423		11<-19
12	565		12<-19
13	845		13<-12<-19
14	3507		14<-13<-12<-19
15	4544		15<-19
16	2247		16<-19
17	5471		17<-19
18	171		18<-19
19	0		19
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 0
Cel	Dystans	Sciezka	
0	0		0
1	2921		1<-0
2	4764		2<-1<-0
3	6622		3<-19<-0
4	9675		4<-3<-19<-0
5	10912		5<-18<-2<-1<-0
6	6996		6<-19<-0
7	8103		7<-19<-0
8	8362		8<-19<-0
9	9998		9<-19<-0
10	14115		10<-11<-19<-0
11	10923		11<-19<-0
12	9270		12<-19<-0
13	12792		13<-12<-19<-0
14	13946		14<-19<-0
15	12322		15<-19<-0
16	9795		16<-19<-0
17	9286		17<-18<-2<-1<-0
18	5664		18<-2<-1<-0
19	5612		19<-0
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 13
Cel	Dystans	Sciezka	
0	15382		0<-19<-13
1	14287		1<-19<-13
2	12791		2<-19<-13
3	15296		3<-4<-5<-19<-13
4	12364		4<-5<-19<-13
5	12282		5<-19<-13
6	11176		6<-7<-19<-13
7	10550		7<-19<-13
8	13583		8<-18<-5<-19<-13
9	15168		9<-10<-19<-13
10	10672		10<-19<-13
11	14038		11<-19<-13
12	9258		12<-13
13	0		13
14	8258		14<-13
15	11759		15<-14<-13
16	15795		16<-17<-19<-13
17	11818		17<-19<-13
18	13006		18<-5<-19<-13
19	8177		19<-13
Ilosc krawedzi 47 Ilosc wierzcholkow 20 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	4196		0<-19<-9
1	4233		1<-2<-18<-9
2	3281		2<-18<-9
3	8079		3<-19<-9
4	4797		4<-19<-9
5	5427		5<-6<-7<-8<-9
6	3179		6<-7<-8<-9
