Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
0	3924		0<-29<-21<-20
1	3389		1<-27<-20
2	5813		2<-28<-0<-29<-21<-20
3	5697		3<-28<-0<-29<-21<-20
4	3536		4<-27<-20
5	5282		5<-28<-0<-29<-21<-20
6	7826		6<-27<-20
7	4963		7<-28<-0<-29<-21<-20
8	4341		8<-29<-21<-20
9	6378		9<-29<-21<-20
10	6270		10<-27<-20
11	7218		11<-29<-21<-20
12	7830		12<-29<-21<-20
13	6157		13<-29<-21<-20
14	3811		14<-27<-20
15	3838		15<-27<-20
16	3705		16<-27<-20
17	4244		17<-18<-19<-20
18	2783		18<-19<-20
19	2435		19<-20
20	0		20
21	1824		21<-20
22	3412		22<-21<-20
23	5594		23<-22<-21<-20
24	9157		24<-25<-28<-0<-29<-21<-20
25	4356		25<-28<-0<-29<-21<-20
26	7689		26<-25<-28<-0<-29<-21<-20
27	2007		27<-20
28	4072		28<-0<-29<-21<-20
29	2446		29<-21<-20
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 26
Cel	Dystans	Sciezka	
0	4241		0<-1<-28<-20<-27<-26
1	3770		1<-28<-20<-27<-26
2	6968		2<-28<-20<-27<-26
3	4287		3<-4<-5<-27<-26
4	2212		4<-5<-27<-26
5	1031		5<-27<-26
6	2007		6<-5<-27<-26
7	1702		7<-27<-26
8	4463		8<-7<-27<-26
9	3839		9<-28<-20<-27<-26
10	2223		10<-11<-27<-26
11	1467		11<-27<-26
12	2895		12<-29<-11<-27<-26
13	4280		13<-28<-20<-27<-26
14	1952		14<-27<-26
15	2453		15<-14<-27<-26
16	5725		16<-15<-14<-27<-26
17	6279		17<-28<-20<-27<-26
18	6054		18<-29<-11<-27<-26
19	3861		19<-27<-26
20	2017		20<-27<-26
21	6931		21<-27<-26
22	7709		22<-27<-26
23	1207		23<-27<-26
24	4102		24<-28<-20<-27<-26
25	3146		25<-26
26	0		26
27	523		27<-26
28	2268		28<-20<-27<-26
29	2310		29<-11<-27<-26
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 15
Cel	Dystans	Sciezka	
0	3464		0<-29<-15
1	3564		1<-0<-29<-15
2	2787		2<-29<-15
3	3628		3<-27<-29<-15
4	4504		4<-29<-15
5	5580		5<-6<-28<-17<-29<-15
6	2478		6<-28<-17<-29<-15
7	3017		7<-6<-28<-17<-29<-15
8	2037		8<-27<-29<-15
9	2197		9<-8<-27<-29<-15
10	469		10<-29<-15
11	2305		11<-28<-17<-29<-15
12	1040		12<-29<-15
13	5503		13<-27<-29<-15
14	739		14<-15
15	0		15
16	3441		16<-15
17	1155		17<-29<-15
18	2508		18<-28<-17<-29<-15
19	4389		19<-20<-21<-29<-15
20	1952		20<-21<-29<-15
21	1909		21<-29<-15
22	3778		22<-28<-17<-29<-15
23	1645		23<-28<-17<-29<-15
24	6648		24<-29<-15
25	8234		25<-28<-17<-29<-15
26	4393		26<-27<-29<-15
27	899		27<-29<-15
28	1400		28<-17<-29<-15
29	2		29<-15
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 6
Cel	Dystans	Sciezka	
0	2035		0<-29<-6
1	8071		1<-29<-6
2	3784		2<-29<-6
3	5058		3<-28<-25<-29<-6
4	4114		4<-29<-6
5	3982		5<-6
6	0		6
7	4448		7<-29<-6
8	7090		8<-27<-23<-29<-6
9	5024		9<-27<-23<-29<-6
10	3335		10<-29<-6
11	3066		11<-29<-6
12	2413		12<-28<-25<-29<-6
13	3919		13<-12<-28<-25<-29<-6
14	4572		14<-29<-6
15	2828		15<-29<-6
16	2485		16<-28<-25<-29<-6
17	4156		17<-18<-19<-28<-25<-29<-6
18	3722		18<-19<-28<-25<-29<-6
19	2049		19<-28<-25<-29<-6
20	5015		20<-28<-25<-29<-6
21	1502		21<-29<-6
22	3924		22<-29<-6
23	2709		23<-29<-6
24	1226		24<-25<-29<-6
25	1086		25<-29<-6
26	2849		26<-29<-6
27	2799		27<-23<-29<-6
28	1693		28<-25<-29<-6
29	22		29<-6
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	7414		0<-27<-13<-14
1	5146		1<-28<-13<-14
2	3298		2<-27<-13<-14
3	5216		3<-4<-27<-13<-14
4	4200		4<-27<-13<-14
5	4325		5<-27<-13<-14
6	5148		6<-7<-29<-4<-27<-13<-14
7	4927		7<-29<-4<-27<-13<-14
8	3339		8<-27<-13<-14
9	5698		9<-29<-4<-27<-13<-14
10	5137		10<-11<-28<-13<-14
11	4263		11<-28<-13<-14
12	6233		12<-11<-28<-13<-14
13	2311		13<-14
14	0		14
15	5998		15<-28<-13<-14
16	4071		16<-27<-13<-14
17	5076		17<-29<-4<-27<-13<-14
18	6480		18<-27<-13<-14
19	5936		19<-28<-13<-14
20	9853		20<-29<-4<-27<-13<-14
21	8714		21<-27<-13<-14
22	7749		22<-23<-28<-13<-14
23	5528		23<-28<-13<-14
24	11457		24<-28<-13<-14
25	12039		25<-26<-29<-4<-27<-13<-14
26	5819		26<-29<-4<-27<-13<-14
27	3187		27<-13<-14
28	4119		28<-13<-14
29	4701		29<-4<-27<-13<-14
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 27
Cel	Dystans	Sciezka	
0	5302		0<-28<-3<-27
1	5835		1<-27
2	3208		2<-28<-3<-27
3	1589		3<-27
4	2275		4<-5<-27
5	2253		5<-27
6	4031		6<-28<-3<-27
7	3088		7<-29<-11<-27
8	3567		8<-29<-11<-27
9	2789		9<-28<-3<-27
10	5471		10<-9<-28<-3<-27
11	2496		11<-27
12	1457		12<-27
13	5109		13<-12<-27
14	3984		14<-15<-29<-11<-27
15	3921		15<-29<-11<-27
16	4725		16<-28<-3<-27
17	2772		17<-29<-11<-27
18	3230		18<-29<-11<-27
19	3876		19<-29<-11<-27
20	5285		20<-29<-11<-27
21	4792		21<-28<-3<-27
22	1858		22<-28<-3<-27
23	4285		23<-22<-28<-3<-27
24	4427		24<-23<-22<-28<-3<-27
25	5417		25<-29<-11<-27
26	4440		26<-29<-11<-27
27	0		27
28	1617		28<-3<-27
29	2548		29<-11<-27
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 20
Cel	Dystans	Sciezka	
0	6710		0<-27<-20
1	3321		1<-29<-28<-27<-20
2	2267		2<-29<-28<-27<-20
3	324		3<-27<-20
4	1600		4<-28<-27<-20
5	1786		5<-4<-28<-27<-20
6	1525		6<-28<-27<-20
7	2984		7<-8<-28<-27<-20
8	1482		8<-28<-27<-20
9	6264		9<-27<-20
10	4677		10<-28<-27<-20
11	2833		11<-28<-27<-20
12	2171		12<-28<-27<-20
13	1630		13<-29<-28<-27<-20
14	4125		14<-27<-20
15	5338		15<-14<-27<-20
16	2501		16<-17<-18<-27<-20
17	1209		17<-18<-27<-20
18	334		18<-27<-20
19	408		19<-18<-27<-20
20	0		20
21	1465		21<-29<-28<-27<-20
22	1596		22<-29<-28<-27<-20
23	3612		23<-22<-29<-28<-27<-20
24	2598		24<-28<-27<-20
25	3191		25<-29<-28<-27<-20
26	4787		26<-27<-20
27	5		27<-20
28	660		28<-27<-20
29	1416		29<-28<-27<-20
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 17
Cel	Dystans	Sciezka	
0	2640		0<-28<-14<-13<-29<-17
1	4409		1<-0<-28<-14<-13<-29<-17
2	4862		2<-3<-27<-14<-13<-29<-17
3	4347		3<-27<-14<-13<-29<-17
4	5790		4<-29<-17
5	2305		5<-29<-17
6	4296		6<-29<-17
7	3268		7<-28<-14<-13<-29<-17
8	3138		8<-28<-14<-13<-29<-17
9	4912		9<-29<-17
10	4003		10<-29<-17
11	4823		11<-28<-14<-13<-29<-17
12	8154		12<-28<-14<-13<-29<-17
13	1712		13<-29<-17
14	1832		14<-13<-29<-17
15	5515		15<-28<-14<-13<-29<-17
16	7396		16<-28<-14<-13<-29<-17
17	0		17
18	3287		18<-17
19	6659		19<-20<-28<-14<-13<-29<-17
20	2671		20<-28<-14<-13<-29<-17
21	5542		21<-29<-17
22	5257		22<-29<-17
23	6224		23<-28<-14<-13<-29<-17
24	3568		24<-28<-14<-13<-29<-17
25	4254		25<-29<-17
26	1969		26<-29<-17
27	3536		27<-14<-13<-29<-17
28	2515		28<-14<-13<-29<-17
29	1437		29<-17
Ilosc krawedzi 108 Ilosc wierzcholkow 30 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	4384		0<-27<-14
1	7154		1<-28<-16<-17<-27<-14
2	1859		2<-27<-14
3	3301		3<-27<-14
4	3272		4<-29<-18<-27<-14
5	954		5<-27<-14
6	4167		6<-7<-27<-14
7	4054		7<-27<-14
8	7679		8<-28<-16<-17<-27<-14
9	4669		9<-29<-18<-27<-14
10	1888		10<-27<-14
11	2144		11<-27<-14
12	3579		12<-29<-18<-27<-14
13	3167		13<-14
14	0		14
15	3097		15<-29<-18<-27<-14
16	4269		16<-17<-27<-14
17	3309		17<-27<-14
18	2043		18<-27<-14
19	3082		19<-29<-18<-27<-14
20	7473		20<-19<-29<-18<-27<-14
21	8447		21<-29<-18<-27<-14
22	2379		22<-27<-14
23	5620		23<-28<-16<-17<-27<-14
24	5022		24<-29<-18<-27<-14
25	3418		25<-29<-18<-27<-14
26	4012		26<-25<-29<-18<-27<-14
27	891		27<-14
28	4410		28<-16<-17<-27<-14
29	3050		29<-18<-27<-14
