Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 39
Cel	Dystans	Sciezka	
0	317		0<-39
1	1776		1<-0<-39
2	1333		2<-37<-39
3	6116		3<-37<-39
4	3739		4<-35<-37<-39
5	1138		5<-6<-39
6	554		6<-39
7	2543		7<-6<-39
8	2826		8<-7<-6<-39
9	1537		9<-37<-39
10	3116		10<-11<-12<-39
11	2233		11<-12<-39
12	950		12<-39
13	2817		13<-38<-6<-39
14	1496		14<-36<-39
15	1573		15<-37<-39
16	2835		16<-36<-39
17	1441		17<-36<-39
18	4890		18<-19<-36<-39
19	3554		19<-36<-39
20	5694		20<-36<-39
21	6768		21<-36<-39
22	4198		22<-39
23	1785		23<-39
24	2061		24<-39
25	4440		25<-38<-6<-39
26	414		26<-37<-39
27	2039		27<-38<-6<-39
28	1977		28<-37<-39
29	1252		29<-39
30	6364		30<-37<-39
31	2364		31<-36<-39
32	714		32<-36<-39
33	2873		33<-39
34	1118		34<-36<-39
35	1129		35<-37<-39
36	514		36<-39
37	399		37<-39
38	844		38<-6<-39
39	0		39
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 13
Cel	Dystans	Sciezka	
0	4244		0<-37<-5<-39<-13
1	4529		1<-37<-5<-39<-13
2	3086		2<-39<-13
3	2140		3<-39<-13
4	2464		4<-39<-13
5	2175		5<-39<-13
6	2316		6<-36<-21<-37<-5<-39<-13
7	4817		7<-8<-39<-13
8	2576		8<-39<-13
9	2486		9<-39<-13
10	2575		10<-38<-3<-39<-13
11	2422		11<-39<-13
12	4498		12<-13
13	0		13
14	2738		14<-13
15	3240		15<-37<-5<-39<-13
16	1836		16<-39<-13
17	2238		17<-16<-39<-13
18	5410		18<-17<-16<-39<-13
19	3909		19<-38<-3<-39<-13
20	2793		20<-39<-13
21	2246		21<-37<-5<-39<-13
22	2274		22<-39<-13
23	4839		23<-37<-5<-39<-13
24	2749		24<-39<-13
25	3182		25<-37<-5<-39<-13
26	2353		26<-39<-13
27	7518		27<-26<-39<-13
28	4095		28<-39<-13
29	3598		29<-36<-21<-37<-5<-39<-13
30	5669		30<-38<-3<-39<-13
31	5621		31<-37<-5<-39<-13
32	2818		32<-37<-5<-39<-13
33	3394		33<-34<-37<-5<-39<-13
34	2291		34<-37<-5<-39<-13
35	2322		35<-36<-21<-37<-5<-39<-13
