Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 39
Cel	Dystans	Sciezka	
36	2263		36<-21<-37<-5<-39<-13
37	2178		37<-5<-39<-13
38	2208		38<-3<-39<-13
39	1625		39<-13
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 30
Cel	Dystans	Sciezka	
0	5060		0<-37<-30
1	2553		1<-37<-30
2	2970		2<-39<-1<-37<-30
3	2870		3<-37<-30
4	7101		4<-37<-30
5	5570		5<-35<-6<-37<-30
6	1439		6<-37<-30
7	3628		7<-37<-30
8	5114		8<-39<-1<-37<-30
9	5058		9<-38<-31<-37<-30
10	3332		10<-37<-30
11	3492		11<-37<-30
12	4354		12<-37<-30
13	4454		13<-39<-1<-37<-30
14	7351		14<-37<-30
15	3824		15<-37<-30
16	6064		16<-36<-6<-37<-30
17	2275		17<-37<-30
18	2590		18<-37<-30
19	3966		19<-37<-30
20	2008		20<-37<-30
21	6718		21<-38<-31<-37<-30
22	1567		22<-37<-30
23	1912		23<-22<-37<-30
24	4111		24<-36<-6<-37<-30
25	2976		25<-36<-6<-37<-30
26	7096		26<-25<-36<-6<-37<-30
27	1593		27<-37<-30
28	3338		28<-36<-6<-37<-30
29	3129		29<-39<-1<-37<-30
30	0		30
31	1338		31<-37<-30
32	7863		32<-37<-30
33	3855		33<-36<-6<-37<-30
34	3659		34<-35<-6<-37<-30
35	2454		35<-6<-37<-30
36	2109		36<-6<-37<-30
37	1180		37<-30
38	3599		38<-31<-37<-30
39	2872		39<-1<-37<-30
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 23
Cel	Dystans	Sciezka	
0	4565		0<-38<-28<-36<-23
1	6162		1<-37<-17<-36<-23
2	6214		2<-1<-37<-17<-36<-23
3	7067		3<-35<-34<-36<-23
4	7461		4<-35<-34<-36<-23
5	6103		5<-39<-12<-37<-17<-36<-23
6	8739		6<-36<-23
7	7883		7<-35<-34<-36<-23
8	5062		8<-38<-28<-36<-23
9	7796		9<-35<-34<-36<-23
10	6142		10<-36<-23
11	5266		11<-38<-28<-36<-23
12	5018		12<-37<-17<-36<-23
13	4767		13<-37<-17<-36<-23
14	7334		14<-36<-23
15	8294		15<-38<-28<-36<-23
16	6679		16<-39<-12<-37<-17<-36<-23
17	3922		17<-36<-23
18	7551		18<-17<-36<-23
19	7453		19<-37<-17<-36<-23
20	6923		20<-37<-17<-36<-23
21	5470		21<-37<-17<-36<-23
22	4250		22<-37<-17<-36<-23
23	0		23
24	5962		24<-39<-12<-37<-17<-36<-23
25	6928		25<-36<-23
26	4928		26<-37<-17<-36<-23
27	6396		27<-38<-28<-36<-23
28	3532		28<-36<-23
29	9306		29<-28<-36<-23
30	9085		30<-37<-17<-36<-23
31	9870		31<-32<-37<-17<-36<-23
32	8245		32<-37<-17<-36<-23
33	6116		33<-38<-28<-36<-23
34	6138		34<-36<-23
35	6463		35<-34<-36<-23
36	3472		36<-23
37	4013		37<-17<-36<-23
38	3978		38<-28<-36<-23
39	5869		39<-12<-37<-17<-36<-23
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 37
Cel	Dystans	Sciezka	
0	2179		0<-38<-20<-37
1	1126		1<-38<-20<-37
2	1659		2<-38<-20<-37
3	1496		3<-35<-39<-6<-37
4	776		4<-39<-6<-37
5	2709		5<-36<-35<-39<-6<-37
6	364		6<-37
7	3420		7<-37
8	2664		8<-38<-20<-37
9	1110		9<-39<-6<-37
10	1621		10<-39<-6<-37
11	4321		11<-36<-35<-39<-6<-37
12	394		12<-37
13	2778		13<-39<-6<-37
14	225		14<-37
15	2671		15<-37
16	3477		16<-37
17	1441		17<-18<-19<-20<-37
18	814		18<-19<-20<-37
19	683		19<-20<-37
20	78		20<-37
21	215		21<-20<-37
22	837		22<-37
23	6273		23<-39<-6<-37
24	2516		24<-38<-20<-37
25	2161		25<-36<-35<-39<-6<-37
26	1379		26<-37
27	884		27<-37
28	3112		28<-38<-20<-37
29	3391		29<-39<-6<-37
30	1204		30<-39<-6<-37
31	1942		31<-32<-36<-35<-39<-6<-37
32	1231		32<-36<-35<-39<-6<-37
33	3738		33<-37
34	4323		34<-35<-39<-6<-37
35	1082		35<-39<-6<-37
36	1173		36<-35<-39<-6<-37
37	0		37
38	455		38<-20<-37
39	424		39<-6<-37
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 21
Cel	Dystans	Sciezka	
0	2293		0<-38<-20<-21
1	3766		1<-38<-20<-21
2	6281		2<-37<-21
3	5383		3<-36<-19<-38<-20<-21
4	6876		4<-3<-36<-19<-38<-20<-21
5	6338		5<-35<-38<-20<-21
6	3234		6<-38<-20<-21
7	5323		7<-6<-38<-20<-21
8	5069		8<-9<-38<-20<-21
9	1422		9<-38<-20<-21
10	7187		10<-39<-21
11	9498		11<-39<-21
12	2914		12<-38<-20<-21
13	5156		13<-39<-21
14	6089		14<-39<-21
15	5064		15<-16<-37<-21
16	3294		16<-37<-21
17	4543		17<-37<-21
18	5466		18<-37<-21
19	3101		19<-38<-20<-21
20	224		20<-21
21	0		21
22	7653		22<-38<-20<-21
23	4126		23<-37<-21
24	5229		24<-39<-21
25	4813		25<-38<-20<-21
26	6126		26<-36<-19<-38<-20<-21
27	5725		27<-38<-20<-21
28	4327		28<-39<-21
29	6337		29<-38<-20<-21
30	5341		30<-37<-21
31	8831		31<-38<-20<-21
32	4684		32<-39<-21
33	5298		33<-36<-19<-38<-20<-21
34	8028		34<-35<-38<-20<-21
35	3021		35<-38<-20<-21
36	4902		36<-19<-38<-20<-21
37	3066		37<-21
38	1410		38<-20<-21
39	3876		39<-21
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 9
Cel	Dystans	Sciezka	
0	6616		0<-37<-8<-9
1	6333		1<-38<-8<-9
2	6305		2<-35<-9
3	6609		3<-36<-26<-25<-37<-8<-9
4	5115		4<-36<-26<-25<-37<-8<-9
5	3567		5<-39<-37<-8<-9
6	8213		6<-5<-39<-37<-8<-9
7	6859		7<-37<-8<-9
8	2339		8<-9
9	0		9
10	6702		10<-9
11	6460		11<-12<-38<-8<-9
12	3310		12<-38<-8<-9
13	4214		13<-12<-38<-8<-9
14	4615		14<-39<-37<-8<-9
15	3592		15<-39<-37<-8<-9
16	8829		16<-36<-26<-25<-37<-8<-9
17	4979		17<-18<-19<-37<-8<-9
18	4115		18<-19<-37<-8<-9
19	3226		19<-37<-8<-9
20	4286		20<-38<-8<-9
21	4634		21<-36<-26<-25<-37<-8<-9
22	3613		22<-39<-37<-8<-9
23	6448		23<-39<-37<-8<-9
24	5565		24<-36<-26<-25<-37<-8<-9
25	3726		25<-37<-8<-9
26	4098		26<-25<-37<-8<-9
27	4286		27<-26<-25<-37<-8<-9
28	5731		28<-29<-38<-8<-9
29	4599		29<-38<-8<-9
30	6029		30<-37<-8<-9
31	5506		31<-38<-8<-9
32	4229		32<-39<-37<-8<-9
33	8872		33<-39<-37<-8<-9
34	5304		34<-37<-8<-9
35	4749		35<-9
36	4319		36<-26<-25<-37<-8<-9
37	3172		37<-8<-9
38	2898		38<-8<-9
39	3361		39<-37<-8<-9
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 26
Cel	Dystans	Sciezka	
0	8649		0<-39<-26
1	5292		1<-36<-25<-26
2	3591		2<-39<-26
3	5908		3<-4<-39<-26
4	4205		4<-39<-26
5	9771		5<-6<-39<-26
6	9558		6<-39<-26
7	5764		7<-8<-38<-14<-39<-26
8	5216		8<-38<-14<-39<-26
9	5095		9<-36<-25<-26
10	5074		10<-36<-25<-26
11	8178		11<-12<-39<-26
12	5304		12<-39<-26
13	5512		13<-14<-39<-26
14	4396		14<-39<-26
15	6081		15<-14<-39<-26
16	7012		16<-17<-18<-37<-10<-36<-25<-26
17	6447		17<-18<-37<-10<-36<-25<-26
18	6442		18<-37<-10<-36<-25<-26
19	7309		19<-18<-37<-10<-36<-25<-26
20	5883		20<-38<-14<-39<-26
21	5443		21<-36<-25<-26
22	6608		22<-39<-26
23	4642		23<-38<-14<-39<-26
24	5820		24<-39<-26
25	3810		25<-26
26	0		26
27	1890		27<-26
28	6660		28<-37<-10<-36<-25<-26
29	7075		29<-36<-25<-26
30	7489		30<-36<-25<-26
31	5198		31<-38<-14<-39<-26
32	7338		32<-36<-25<-26
33	6763		33<-36<-25<-26
34	5644		34<-39<-26
35	6177		35<-37<-10<-36<-25<-26
36	5028		36<-25<-26
37	5728		37<-10<-36<-25<-26
38	4593		38<-14<-39<-26
39	2964		39<-26
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 28
Cel	Dystans	Sciezka	
0	1440		0<-37<-38<-27<-28
1	2497		1<-39<-26<-38<-27<-28
2	2362		2<-39<-26<-38<-27<-28
3	2381		3<-38<-27<-28
4	1464		4<-39<-26<-38<-27<-28
5	1489		5<-39<-26<-38<-27<-28
6	3261		6<-35<-3<-38<-27<-28
7	1264		7<-37<-38<-27<-28
8	1079		8<-37<-38<-27<-28
9	1132		9<-8<-37<-38<-27<-28
10	1458		10<-38<-27<-28
11	2611		11<-39<-26<-38<-27<-28
12	3858		12<-11<-39<-26<-38<-27<-28
13	3629		13<-38<-27<-28
14	1303		14<-39<-26<-38<-27<-28
15	2798		15<-14<-39<-26<-38<-27<-28
16	1640		16<-38<-27<-28
17	1865		17<-37<-38<-27<-28
18	7604		18<-38<-27<-28
19	1179		19<-39<-26<-38<-27<-28
20	2554		20<-37<-38<-27<-28
21	2435		21<-36<-4<-39<-26<-38<-27<-28
22	2141		22<-36<-4<-39<-26<-38<-27<-28
23	1369		23<-38<-27<-28
24	2916		24<-38<-27<-28
25	1483		25<-37<-38<-27<-28
26	982		26<-38<-27<-28
27	30		27<-28
28	0		28
29	976		29<-38<-27<-28
30	677		30<-38<-27<-28
31	2047		31<-30<-38<-27<-28
32	5898		32<-39<-26<-38<-27<-28
33	4367		33<-39<-26<-38<-27<-28
34	4716		34<-35<-3<-38<-27<-28
35	2604		35<-3<-38<-27<-28
36	1580		36<-4<-39<-26<-38<-27<-28
37	866		37<-38<-27<-28
38	292		38<-27<-28
39	1106		39<-26<-38<-27<-28
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 14
Cel	Dystans	Sciezka	
0	3039		0<-38<-1<-36<-14
1	2520		1<-36<-14
2	4404		2<-35<-36<-14
3	3365		3<-38<-1<-36<-14
4	4457		4<-35<-36<-14
5	2762		5<-35<-36<-14
6	3657		6<-5<-35<-36<-14
7	3276		7<-39<-14
8	4682		8<-7<-39<-14
9	2635		9<-35<-36<-14
10	2226		10<-39<-14
11	7367		11<-12<-38<-1<-36<-14
12	3747		12<-38<-1<-36<-14
13	6229		13<-39<-14
14	0		14
15	3238		15<-39<-14
16	3837		16<-37<-30<-36<-14
17	5454		17<-16<-37<-30<-36<-14
18	3456		18<-39<-14
19	3206		19<-36<-14
20	4167		20<-36<-14
21	4750		21<-36<-14
22	2849		22<-38<-1<-36<-14
23	2549		23<-36<-14
24	5153		24<-39<-14
25	4869		25<-36<-14
26	5346		26<-38<-1<-36<-14
27	4269		27<-37<-30<-36<-14
28	5592		28<-36<-14
29	6317		29<-36<-14
30	2605		30<-36<-14
31	3298		31<-37<-30<-36<-14
32	4262		32<-36<-14
33	3362		33<-39<-14
34	3191		34<-38<-1<-36<-14
35	1321		35<-36<-14
36	926		36<-14
37	3086		37<-30<-36<-14
38	2703		38<-1<-36<-14
39	1899		39<-14
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 19
Cel	Dystans	Sciezka	
0	3221		0<-35<-37<-19
1	3221		1<-37<-19
2	2592		2<-38<-31<-37<-19
3	1182		3<-37<-19
4	1910		4<-37<-19
5	4483		5<-35<-37<-19
6	2131		6<-37<-19
7	3447		7<-37<-19
8	3343		8<-38<-31<-37<-19
9	5210		9<-37<-19
10	2519		10<-36<-35<-37<-19
11	3298		11<-39<-34<-37<-19
12	2051		12<-37<-19
13	2680		13<-36<-35<-37<-19
14	3910		14<-36<-35<-37<-19
15	6063		15<-14<-36<-35<-37<-19
16	6467		16<-38<-31<-37<-19
17	2550		17<-39<-34<-37<-19
18	4553		18<-17<-39<-34<-37<-19
19	0		19
20	2614		20<-37<-19
21	2135		21<-38<-31<-37<-19
22	2641		22<-38<-31<-37<-19
23	2762		23<-38<-31<-37<-19
24	4644		24<-39<-34<-37<-19
25	3212		25<-38<-31<-37<-19
26	2744		26<-39<-34<-37<-19
27	3218		27<-37<-19
28	3489		28<-27<-37<-19
29	3012		29<-38<-31<-37<-19
30	2212		30<-37<-19
31	1576		31<-37<-19
32	1862		32<-31<-37<-19
33	2352		33<-36<-35<-37<-19
34	1631		34<-37<-19
35	1287		35<-37<-19
36	2035		36<-35<-37<-19
37	1126		37<-19
38	1795		38<-31<-37<-19
39	1895		39<-34<-37<-19
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 35
Cel	Dystans	Sciezka	
0	4347		0<-39<-14<-36<-35
1	4867		1<-36<-35
2	2572		2<-39<-14<-36<-35
3	2320		3<-36<-35
4	3634		4<-39<-14<-36<-35
5	1139		5<-36<-35
6	154		6<-35
7	1220		7<-36<-35
8	1256		8<-35
9	1898		9<-8<-35
10	3059		10<-39<-14<-36<-35
11	2659		11<-36<-35
12	4209		12<-37<-6<-35
13	4159		13<-36<-35
14	2283		14<-36<-35
15	2454		15<-14<-36<-35
16	3279		16<-39<-14<-36<-35
17	1625		17<-36<-35
18	1392		18<-36<-35
19	2958		19<-18<-36<-35
20	3727		20<-38<-5<-36<-35
21	836		21<-36<-35
22	3205		22<-21<-36<-35
23	2975		23<-38<-5<-36<-35
24	4628		24<-37<-6<-35
25	6364		25<-37<-6<-35
26	1366		26<-36<-35
27	2996		27<-36<-35
28	2861		28<-29<-36<-35
29	863		29<-36<-35
30	5183		30<-39<-14<-36<-35
31	2547		31<-39<-14<-36<-35
32	5345		32<-36<-35
33	2048		33<-37<-6<-35
34	4638		34<-37<-6<-35
35	0		35
36	384		36<-35
37	1492		37<-6<-35
38	2799		38<-5<-36<-35
39	2286		39<-14<-36<-35
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 3
Cel	Dystans	Sciezka	
0	7491		0<-38<-3
1	6306		1<-37<-3
2	4953		2<-37<-3
3	0		3
4	5863		4<-3
5	5570		5<-38<-3
6	5368		6<-36<-3
7	4985		7<-37<-3
8	4643		8<-38<-3
9	5183		9<-36<-3
10	3741		10<-36<-3
11	5326		11<-39<-10<-36<-3
12	4592		12<-36<-3
13	4793		13<-36<-3
14	4922		14<-36<-3
15	5568		15<-38<-3
16	4575		16<-36<-3
17	7307		17<-37<-3
18	4983		18<-39<-10<-36<-3
19	5695		19<-37<-3
20	5208		20<-38<-3
21	5601		21<-39<-10<-36<-3
22	4263		22<-38<-3
23	7074		23<-38<-3
24	4825		24<-37<-3
25	4723		25<-38<-3
26	5461		26<-25<-38<-3
27	7457		27<-26<-25<-38<-3
28	6292		28<-39<-10<-36<-3
29	7284		29<-28<-39<-10<-36<-3
30	5781		30<-39<-10<-36<-3
31	6444		31<-36<-3
32	4267		32<-36<-3
33	5637		33<-38<-3
34	6259		34<-36<-3
35	4634		35<-36<-3
36	3464		36<-3
37	4249		37<-3
38	3832		38<-3
39	3914		39<-10<-36<-3
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 24
Cel	Dystans	Sciezka	
0	2772		0<-36<-24
1	1373		1<-36<-24
2	3752		2<-3<-36<-24
3	2738		3<-36<-24
4	3296		4<-5<-38<-9<-36<-24
5	3047		5<-38<-9<-36<-24
6	5085		6<-37<-33<-38<-9<-36<-24
7	2505		7<-35<-9<-36<-24
8	634		8<-36<-24
9	576		9<-36<-24
10	1469		10<-9<-36<-24
11	872		11<-12<-36<-24
12	521		12<-36<-24
13	2529		13<-37<-33<-38<-9<-36<-24
14	2649		14<-15<-37<-33<-38<-9<-36<-24
15	2637		15<-37<-33<-38<-9<-36<-24
16	2646		16<-38<-9<-36<-24
17	4184		17<-18<-37<-33<-38<-9<-36<-24
18	1973		18<-37<-33<-38<-9<-36<-24
19	2373		19<-37<-33<-38<-9<-36<-24
20	2504		20<-38<-9<-36<-24
21	4939		21<-39<-9<-36<-24
22	6673		22<-37<-33<-38<-9<-36<-24
23	3519		23<-37<-33<-38<-9<-36<-24
24	0		24
25	622		25<-24
26	2161		26<-36<-24
27	7147		27<-37<-33<-38<-9<-36<-24
28	3275		28<-36<-24
29	2140		29<-38<-9<-36<-24
30	1224		30<-36<-24
31	3705		31<-37<-33<-38<-9<-36<-24
32	531		32<-36<-24
33	1209		33<-38<-9<-36<-24
34	1448		34<-33<-38<-9<-36<-24
35	1264		35<-9<-36<-24
36	499		36<-24
37	1708		37<-33<-38<-9<-36<-24
38	919		38<-9<-36<-24
39	2228		39<-9<-36<-24
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 34
Cel	Dystans	Sciezka	
0	2616		0<-39<-34
1	1745		1<-37<-34
2	1570		2<-38<-34
3	879		3<-37<-34
4	1072		4<-39<-34
5	3288		5<-37<-34
6	2133		6<-37<-34
7	2424		7<-36<-37<-34
8	1527		8<-37<-34
9	4301		9<-35<-34
10	7322		10<-38<-34
11	2981		11<-39<-34
12	1803		12<-37<-34
13	1559		13<-37<-34
14	4634		14<-39<-34
15	739		15<-37<-34
16	3889		16<-38<-34
17	1256		17<-36<-37<-34
18	3167		18<-36<-37<-34
19	1725		19<-37<-34
20	1806		20<-39<-34
21	4924		21<-39<-34
22	2914		22<-39<-34
23	2753		23<-36<-37<-34
24	2232		24<-39<-34
25	2018		25<-36<-37<-34
26	3235		26<-39<-34
27	2507		27<-36<-37<-34
28	1567		28<-36<-37<-34
29	3087		29<-30<-37<-34
30	1972		30<-37<-34
31	3678		31<-36<-37<-34
32	2532		32<-36<-37<-34
33	1806		33<-38<-34
34	0		34
35	2938		35<-34
36	936		36<-37<-34
37	725		37<-34
38	1203		38<-34
39	944		39<-34
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 6
Cel	Dystans	Sciezka	
0	3880		0<-35<-6
1	2830		1<-38<-5<-35<-6
2	3870		2<-39<-5<-35<-6
3	3211		3<-35<-6
4	5843		4<-3<-35<-6
5	850		5<-35<-6
6	0		6
7	3626		7<-35<-6
8	1021		8<-35<-6
9	1815		9<-35<-6
10	2417		10<-39<-5<-35<-6
11	3108		11<-36<-5<-35<-6
12	4156		12<-39<-5<-35<-6
13	1812		13<-39<-5<-35<-6
14	8234		14<-36<-5<-35<-6
15	5066		15<-16<-36<-5<-35<-6
16	4656		16<-36<-5<-35<-6
17	4745		17<-39<-5<-35<-6
18	7802		18<-19<-39<-5<-35<-6
19	1692		19<-39<-5<-35<-6
20	3457		20<-36<-5<-35<-6
21	3650		21<-39<-5<-35<-6
22	5318		22<-36<-5<-35<-6
23	3389		23<-36<-5<-35<-6
24	4746		24<-36<-5<-35<-6
25	5134		25<-39<-5<-35<-6
26	2207		26<-39<-5<-35<-6
27	3745		27<-37<-8<-35<-6
28	5193		28<-27<-37<-8<-35<-6
29	4500		29<-37<-8<-35<-6
30	4223		30<-39<-5<-35<-6
31	3599		31<-36<-5<-35<-6
32	3589		32<-36<-5<-35<-6
33	6513		33<-39<-5<-35<-6
34	3644		34<-36<-5<-35<-6
35	115		35<-6
36	2849		36<-5<-35<-6
37	3615		37<-8<-35<-6
38	2713		38<-5<-35<-6
39	1579		39<-5<-35<-6
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 23
Cel	Dystans	Sciezka	
0	2160		0<-38<-36<-23
1	2059		1<-36<-23
2	2590		2<-36<-23
3	4694		3<-2<-36<-23
4	3186		4<-35<-0<-38<-36<-23
5	3689		5<-4<-35<-0<-38<-36<-23
6	1825		6<-36<-23
7	4325		7<-37<-38<-36<-23
8	1615		8<-36<-23
9	2118		9<-8<-36<-23
10	1308		10<-36<-23
11	2551		11<-39<-27<-36<-23
12	3867		12<-37<-38<-36<-23
13	4651		13<-39<-27<-36<-23
14	3770		14<-36<-23
15	1832		15<-38<-36<-23
16	1257		16<-36<-23
17	3984		17<-37<-38<-36<-23
18	5105		18<-36<-23
19	2711		19<-38<-36<-23
20	2733		20<-19<-38<-36<-23
21	2673		21<-38<-36<-23
22	2402		22<-36<-23
23	0		23
24	2216		24<-37<-38<-36<-23
25	3640		25<-39<-27<-36<-23
26	4068		26<-37<-38<-36<-23
27	2152		27<-36<-23
28	1673		28<-36<-23
29	2875		29<-37<-38<-36<-23
30	3608		30<-37<-38<-36<-23
31	3620		31<-32<-37<-38<-36<-23
32	2844		32<-37<-38<-36<-23
33	2941		33<-37<-38<-36<-23
34	3782		34<-35<-0<-38<-36<-23
35	2623		35<-0<-38<-36<-23
36	672		36<-23
37	1814		37<-38<-36<-23
38	1722		38<-36<-23
39	2243		39<-27<-36<-23
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 16
Cel	Dystans	Sciezka	
0	4418		0<-35<-36<-15<-16
1	5939		1<-0<-35<-36<-15<-16
2	2503		2<-38<-16
3	2582		3<-37<-16
4	3459		4<-3<-37<-16
5	4662		5<-38<-16
6	1829		6<-37<-16
7	2489		7<-37<-16
8	2849		8<-38<-16
9	4572		9<-37<-16
10	3244		10<-36<-15<-16
11	3923		11<-38<-16
12	5823		12<-39<-16
13	5473		13<-37<-16
14	3300		14<-15<-16
15	2134		15<-16
16	0		16
17	5260		17<-38<-16
18	5323		18<-19<-36<-15<-16
19	4208		19<-36<-15<-16
20	3429		20<-38<-16
21	3785		21<-38<-16
22	2402		22<-37<-16
23	4644		23<-38<-16
24	3524		24<-37<-16
25	4019		25<-38<-16
26	3748		26<-38<-16
27	5091		27<-37<-16
28	2378		28<-37<-16
29	4251		29<-37<-16
30	4446		30<-36<-15<-16
31	5586		31<-32<-36<-15<-16
32	4500		32<-36<-15<-16
33	3674		33<-37<-16
34	5547		34<-35<-36<-15<-16
35	3585		35<-36<-15<-16
36	2791		36<-15<-16
37	1655		37<-16
38	2241		38<-16
39	3663		39<-16
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 17
Cel	Dystans	Sciezka	
0	7188		0<-35<-7<-36<-17
1	5113		1<-36<-17
2	6126		2<-36<-17
3	6026		3<-4<-36<-17
4	6013		4<-36<-17
5	4669		5<-6<-36<-17
6	3660		6<-36<-17
7	4370		7<-36<-17
8	4561		8<-39<-17
9	6168		9<-37<-19<-36<-17
10	3907		10<-36<-17
11	5025		11<-10<-36<-17
12	7273		12<-37<-19<-36<-17
13	5828		13<-38<-6<-36<-17
14	5058		14<-39<-17
15	4478		15<-16<-17
16	2313		16<-17
17	0		17
18	5377		18<-38<-6<-36<-17
19	4606		19<-36<-17
20	5108		20<-36<-17
21	5452		21<-38<-6<-36<-17
22	5058		22<-39<-17
23	10262		23<-38<-6<-36<-17
24	5394		24<-38<-6<-36<-17
25	4550		25<-38<-6<-36<-17
26	7318		26<-27<-28<-39<-17
27	5448		27<-28<-39<-17
28	4345		28<-39<-17
29	4519		29<-39<-17
30	7819		30<-39<-17
31	5952		31<-38<-6<-36<-17
32	6646		32<-39<-17
33	9204		33<-37<-19<-36<-17
34	5631		34<-36<-17
35	4916		35<-7<-36<-17
36	3566		36<-17
37	5267		37<-19<-36<-17
38	4272		38<-6<-36<-17
39	4269		39<-17
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 23
Cel	Dystans	Sciezka	
0	5384		0<-1<-2<-36<-15<-37<-39<-23
1	3025		1<-2<-36<-15<-37<-39<-23
2	1915		2<-36<-15<-37<-39<-23
3	2411		3<-38<-27<-39<-23
4	5566		4<-35<-38<-27<-39<-23
5	6518		5<-39<-23
6	4923		6<-7<-8<-38<-27<-39<-23
7	4252		7<-8<-38<-27<-39<-23
8	3178		8<-38<-27<-39<-23
9	4789		9<-39<-23
10	5322		10<-38<-27<-39<-23
11	2888		11<-37<-39<-23
12	763		12<-37<-39<-23
13	2609		13<-12<-37<-39<-23
14	2414		14<-36<-15<-37<-39<-23
15	866		15<-37<-39<-23
16	3557		16<-36<-15<-37<-39<-23
17	1510		17<-39<-23
18	4498		18<-39<-23
19	4776		19<-18<-39<-23
20	1917		20<-39<-23
21	5698		21<-38<-27<-39<-23
22	569		22<-23
23	0		23
24	1509		24<-23
25	6726		25<-37<-39<-23
26	8132		26<-39<-23
27	1449		27<-39<-23
28	2201		28<-37<-39<-23
29	2252		29<-39<-23
30	2623		30<-38<-27<-39<-23
31	1665		31<-37<-39<-23
32	3970		32<-38<-27<-39<-23
33	8148		33<-34<-39<-23
34	5642		34<-39<-23
35	2927		35<-38<-27<-39<-23
36	1319		36<-15<-37<-39<-23
37	698		37<-39<-23
38	1946		38<-27<-39<-23
39	517		39<-23
Ilosc krawedzi 195 Ilosc wierzcholkow 40 Wierzcholek startowy 18
Cel	Dystans	Sciezka	
0	4394		0<-39<-18
1	4866		1<-36<-39<-18
2	3916		2<-38<-8<-39<-18
3	3987		3<-39<-18
4	2683		4<-38<-8<-39<-18
5	5855		5<-35<-8<-39<-18
6	2988		6<-36<-39<-18
7	2103		7<-38<-8<-39<-18
8	458		8<-39<-18
